date,prix100,prix10,prix1
2022-01-22-23:53:14,0,639993,63979
2022-01-23-22:50:12,0,639997,63473
2022-01-24-19:37:34,0,649961,63457
2022-01-24-21:39:26,0,649956,63453
2022-01-25-18:26:11,0,649960,63975
2022-01-26-15:23:30,0,949976,67990
2022-01-26-15:42:40,0,949970,67992
2022-01-28-09:05:53,0,949911,89882
2022-01-28-10:05:18,0,949911,89880
2022-01-28-11:04:37,0,949911,89879
2022-01-28-12:03:39,0,949911,89878
2022-01-28-13:02:45,0,699999,89878
2022-01-28-14:01:53,0,699999,89879
2022-01-28-15:01:02,0,699996,89867
2022-01-28-16:00:15,0,699994,89866
2022-01-28-16:59:48,0,699990,89866
2022-01-28-17:59:17,0,699999,89865
2022-01-29-10:42:26,0,699972,89845
2022-01-29-11:41:12,0,699970,89844
2022-01-29-12:40:06,0,699969,89849
2022-01-29-13:38:58,0,699970,89850
2022-01-29-21:53:00,0,699953,88890
2022-01-29-22:52:04,0,699950,88887
2022-02-02-20:22:50,0,699996,81999
2022-02-06-14:59:00,9100000,699916,88974
2022-02-06-22:37:35,9100000,699909,88941
2022-02-07-20:18:41,0,699999,88920
2022-02-07-20:31:00,0,699999,88920
2022-02-07-20:43:17,0,699999,88921
2022-02-07-20:55:38,0,699999,88920
2022-02-07-21:07:54,0,699999,88920
2022-02-10-08:53:16,0,699956,89948
2022-02-10-20:20:56,0,699951,89910
2022-02-10-20:34:23,0,699951,89928
2022-02-11-20:38:39,0,699700,89880
2022-02-12-12:39:34,0,699690,89878
