date,prix100,prix10,prix1
2022-01-22-23:55:22,620000,47699,4771
2022-01-24-09:16:38,599999,54976,4858
2022-01-24-19:39:24,599995,54799,4694
2022-01-24-21:41:17,599995,54795,4688
2022-01-25-18:27:58,599990,53996,4990
2022-01-26-15:25:40,589999,53976,5113
2022-01-26-15:44:50,589999,53977,5197
2022-01-28-09:08:07,499900,47996,4495
2022-01-28-10:07:40,499899,47900,4450
2022-01-28-11:06:51,499899,47900,4496
2022-01-28-12:05:53,499899,47996,4198
2022-01-28-13:04:59,499899,47996,4616
2022-01-28-14:04:07,499897,47993,4979
2022-01-28-15:03:18,499895,47999,4556
2022-01-28-16:02:42,499894,45552,4492
2022-01-28-17:02:09,477776,45550,4248
2022-01-28-18:01:41,477754,45546,4248
2022-01-29-10:44:34,429999,44997,4419
2022-01-29-11:43:23,429997,44995,4417
2022-01-29-12:42:20,429997,44996,4198
2022-01-29-13:41:08,429997,44996,4417
2022-01-29-21:55:23,429888,40999,4188
2022-01-29-22:54:12,429886,40000,4200
2022-02-02-20:24:08,414986,39976,8696
2022-02-06-15:00:19,414967,35990,2972
2022-02-06-22:38:55,414963,34990,2445
2022-02-07-20:19:59,414957,39997,8899
2022-02-07-20:32:18,414957,39000,8941
2022-02-07-20:44:35,414957,39000,8900
2022-02-07-20:56:56,414957,39000,8900
2022-02-07-21:09:13,414957,36991,8919
2022-02-10-08:54:39,413950,40960,4102
2022-02-10-20:22:22,413944,39999,8972
2022-02-10-20:35:49,413944,39999,8967
2022-02-11-20:39:59,412999,40496,8894
2022-02-12-12:40:55,412998,40977,8993
