date,prix100,prix10,prix1
2022-01-06-10:52:59,20910,2500,1855
2022-01-06-13:32:08,20910,2496,1895
2022-01-06-14:11:34,20910,2496,1899
2022-01-06-14:15:38,20910,2400,1899
2022-01-07-19:53:00,599998,5479,4498
2022-01-07-20:01:16,599998,5479,4496
2022-01-07-20:09:27,599998,5479,487
2022-01-07-20:17:36,599998,5479,4874
2022-01-07-20:25:44,599998,5490,4873
2022-01-07-20:34:00,599998,5490,4700
2022-01-12-09:45:36,96985,6996,1794
2022-01-12-10:11:27,998,6996,1790
2022-01-12-10:44:44,9986,6996,1786
2022-01-12-11:17:57,9986,6996,178
2022-01-12-11:51:20,9986,9979,1776
2022-01-21-23:39:57,29999,2996,180
2022-01-22-01:02:30,129998,12996,1094
2022-01-22-14:01:32,129998,12996,1196
2022-01-22-14:14:37,129997,12995,1194
2022-01-22-14:27:42,129997,12995,1193
2022-01-22-14:40:47,129997,12995,1190
2022-01-22-14:53:51,129997,12994,1099
2022-01-22-15:07:05,129997,12994,1098
2022-01-22-15:20:13,129998,12994,1047
2022-01-22-15:33:20,129998,12994,1042
2022-01-22-15:48:11,129998,12994,1013
2022-01-22-16:01:18,129998,12993,1012
2022-01-22-16:14:25,129998,12993,1040
2022-01-22-16:27:33,129998,12993,1049
2022-01-22-16:40:42,129999,12992,1048
2022-01-22-16:53:48,129999,12992,1046
2022-01-22-17:06:57,129999,12993,1046
2022-01-22-17:20:04,129999,12993,1043
2022-01-22-17:33:10,129999,12993,1045
2022-01-22-17:46:19,129999,12993,1192
2022-01-22-17:59:28,129999,12993,1191
2022-01-22-18:12:40,129999,12993,1188
2022-01-22-18:25:52,129999,12991,1191
2022-01-22-18:39:03,129999,12991,1124
2022-01-22-18:52:10,129999,12991,1123
2022-01-22-19:05:24,129999,12990,997
2022-01-22-19:18:36,129999,12992,997
2022-01-22-19:32:43,129999,12999,1099
2022-01-22-19:45:54,129999,12999,999
2022-01-22-19:59:06,129999,12999,993
2022-01-22-23:51:32,129999,12994,97
2022-01-23-22:48:54,120000,12495,992
2022-01-24-19:36:16,119999,11991,1093
2022-01-24-21:38:04,119000,11970,1092
2022-01-25-18:24:53,135000,1444,980
2022-01-26-15:21:55,139999,15999,1450
2022-01-26-15:41:02,139999,15999,1099
2022-01-28-09:04:09,140000,14990,1195
2022-01-28-10:03:36,140000,14990,1196
2022-01-28-11:03:01,140000,14999,1194
2022-01-28-12:02:03,140000,14999,1199
2022-01-28-13:01:09,139990,14979,1091
2022-01-28-14:00:15,139990,14976,1410
2022-01-28-14:59:24,139990,14977,1425
2022-01-28-15:58:36,139990,14976,1419
2022-01-28-16:58:08,139990,14900,1259
2022-01-28-17:57:36,139990,14900,1100
2022-01-29-10:40:55,140000,13996,1172
2022-01-29-11:39:39,140000,13999,1165
2022-01-29-12:38:31,140000,13999,1141
2022-01-29-13:37:25,140000,13996,1244
2022-01-29-21:51:27,139897,11996,887
2022-01-29-22:50:30,139897,11997,1075
2022-02-02-20:22:04,120000,12996,1042
2022-02-06-14:58:14,120000,12213,1198
2022-02-06-22:36:27,120000,12200,973
2022-02-07-20:17:55,119999,12111,884
2022-02-07-20:30:14,119999,12111,800
2022-02-07-20:42:31,119999,12110,947
2022-02-07-20:54:52,119999,12000,1009
2022-02-07-21:07:08,119999,12000,1200
2022-02-10-08:52:29,120000,12205,1150
2022-02-10-20:20:06,119999,12213,1097
2022-02-10-20:33:32,119999,12219,1095
2022-02-11-20:37:52,70000,12497,972
2022-02-12-12:38:47,99999,12499,1113
