date,prix100,prix10,prix1
2022-02-01-19:28:56,0,0,0
2022-02-01-19:30:41,10997,1522,211
2022-02-01-19:37:31,10996,1522,211
2022-02-01-19:44:39,10996,1522,211
2022-02-01-19:47:02,10995,1522,211
2022-02-01-19:52:40,10994,1522,211
2022-02-01-19:59:23,10990,1522,211
2022-02-01-20:03:24,10990,1522,211
2022-02-01-20:05:32,10989,1521,211
2022-02-01-20:36:12,11000,1521,211
2022-02-02-20:07:55,11944,1500,169
2022-02-02-20:12:38,11944,1499,169
2022-02-02-20:27:34,11900,1499,169
2022-02-06-14:51:20,9885,1122,177
2022-02-06-15:23:18,9999,1122,177
2022-02-06-22:29:27,11985,1455,216
2022-02-07-20:11:05,11796,1432,213
2022-02-07-20:23:25,11796,1432,213
2022-02-07-20:35:40,11795,1432,213
2022-02-07-20:47:59,11797,1431,213
2022-02-07-21:00:19,9995,1431,213
2022-02-07-21:12:40,6000,1430,213
2022-02-10-08:42:28,11018,1396,219
2022-02-10-08:45:18,11018,1396,219
2022-02-10-20:12:26,10898,1395,213
2022-02-10-20:25:59,10900,1397,213
2022-02-10-20:39:27,10899,1397,213
2022-02-11-20:30:48,8999,1376,200
2022-02-12-12:31:49,8978,1374,210
