date,prix100,prix10,prix1
2022-02-01-20:07:37,7816,797,67
2022-02-01-20:38:18,7500,797,67
2022-02-02-20:14:38,7477,775,65
2022-02-06-14:53:21,14794,1497,112
2022-02-06-15:25:22,14729,1495,123
2022-02-06-22:31:30,7894,1396,122
2022-02-07-20:13:07,6786,999,145
2022-02-07-20:25:24,6500,996,145
2022-02-07-20:37:42,6786,976,145
2022-02-07-20:50:00,6786,1397,145
2022-02-07-21:02:19,6786,1397,145
2022-02-07-21:14:42,6786,1397,145
2022-02-10-08:47:24,4996,465,133
2022-02-10-20:14:42,6494,1390,140
2022-02-10-20:28:13,6489,1376,140
2022-02-10-20:41:43,6489,1376,140
2022-02-11-20:32:53,6410,992,99
2022-02-12-12:33:50,4793,560,79
