date,prix100,prix10,prix1
2022-02-01-20:30:11,7827,793,83
2022-02-01-20:38:37,7797,793,83
2022-02-02-20:14:57,7297,760,75
2022-02-06-14:53:40,7488,750,100
2022-02-06-15:25:41,7488,761,100
2022-02-06-22:31:49,8744,730,74
2022-02-07-20:13:25,8705,699,98
2022-02-07-20:25:43,8705,699,98
2022-02-07-20:38:00,8704,699,98
2022-02-07-20:50:19,8704,699,98
2022-02-07-21:02:38,8699,699,98
2022-02-07-21:15:00,8700,699,98
2022-02-10-08:47:44,6852,757,104
2022-02-10-20:15:03,6793,694,97
2022-02-10-20:28:33,6793,694,97
2022-02-10-20:42:02,6793,694,97
2022-02-11-20:33:11,6292,676,84
2022-02-12-12:34:09,5498,671,80
