date,prix100,prix10,prix1
2022-02-01-20:07:27,6780,969,119
2022-02-01-20:38:08,6780,969,119
2022-02-02-20:14:28,5900,694,95
2022-02-06-14:53:12,6599,661,70
2022-02-06-15:25:13,6678,661,75
2022-02-06-22:31:20,6768,690,89
2022-02-07-20:12:57,6769,693,91
2022-02-07-20:25:15,6743,692,91
2022-02-07-20:37:31,6743,692,91
2022-02-07-20:49:50,6743,692,90
2022-02-07-21:02:10,6743,692,90
2022-02-07-21:14:32,6743,692,90
2022-02-10-08:47:14,6694,947,108
2022-02-10-20:14:31,6654,942,104
2022-02-10-20:28:03,6654,942,104
2022-02-10-20:41:31,6654,942,104
2022-02-11-20:32:43,6600,799,104
2022-02-12-12:33:41,5996,767,80
