date,prix100,prix10,prix1
2022-02-01-20:38:46,51000,5200,480
2022-02-02-20:15:06,49813,4975,477
2022-02-06-14:53:49,49997,4961,584
2022-02-06-22:31:58,49998,4947,874
2022-02-07-20:13:34,49989,4947,479
2022-02-07-20:25:52,49989,4940,479
2022-02-07-20:38:09,49989,4940,480
2022-02-07-20:50:28,49989,4940,480
2022-02-07-21:02:47,48994,4940,480
2022-02-07-21:15:09,48993,4940,480
2022-02-10-08:47:54,39884,4127,415
2022-02-10-20:15:14,48873,4106,199
2022-02-10-20:28:43,48872,4107,199
2022-02-10-20:42:12,48871,4107,199
2022-02-11-20:33:21,41888,4104,179
2022-02-12-12:34:19,39979,4105,144
