date,prix100,prix10,prix1
2022-02-01-20:07:32,2755,594,77
2022-02-01-20:38:14,2753,594,77
2022-02-02-20:14:33,2711,560,76
2022-02-06-14:53:17,2673,771,129
2022-02-06-15:25:18,2690,773,128
2022-02-06-22:31:25,2782,756,126
2022-02-07-20:13:02,2684,749,121
2022-02-07-20:25:20,2500,749,121
2022-02-07-20:37:37,2500,749,121
2022-02-07-20:49:55,2500,749,139
2022-02-07-21:02:15,2499,749,139
2022-02-07-21:14:37,2500,749,139
2022-02-10-08:47:19,2186,760,180
2022-02-10-20:14:37,2098,745,150
2022-02-10-20:28:08,2098,744,150
2022-02-10-20:41:37,2098,744,150
2022-02-11-20:32:48,2096,490,94
2022-02-12-12:33:46,2092,473,91
