date,prix100,prix10,prix1
2022-02-01-20:07:17,6085,709,61
2022-02-01-20:37:58,6084,709,60
2022-02-02-20:14:19,6277,599,66
2022-02-06-14:53:02,5775,643,67
2022-02-06-15:25:01,5600,636,60
2022-02-06-22:31:11,5757,630,70
2022-02-07-20:12:48,5420,664,64
2022-02-07-20:25:06,5411,662,64
2022-02-07-20:37:22,5420,695,64
2022-02-07-20:49:41,5757,696,64
2022-02-07-21:02:01,5758,696,63
2022-02-07-21:14:23,5758,696,66
2022-02-10-08:47:05,5559,693,73
2022-02-10-20:14:22,5696,666,71
2022-02-10-20:27:53,5696,666,71
2022-02-10-20:41:21,5696,666,71
2022-02-11-20:32:33,4896,623,72
2022-02-12-12:33:31,4777,566,73
