date,prix100,prix10,prix1
2022-02-01-20:38:32,7286,765,97
2022-02-02-20:14:52,7119,761,91
2022-02-06-14:53:35,5980,746,93
2022-02-06-15:25:36,5989,749,92
2022-02-06-22:31:44,5999,769,93
2022-02-07-20:13:20,6799,697,81
2022-02-07-20:25:38,6799,697,94
2022-02-07-20:37:56,6799,697,94
2022-02-07-20:50:14,6799,697,94
2022-02-07-21:02:33,5995,697,94
2022-02-07-21:14:55,5995,697,94
2022-02-10-08:47:39,4982,964,109
2022-02-10-20:14:57,6793,966,100
2022-02-10-20:28:28,5999,966,100
2022-02-10-20:41:57,5999,966,100
2022-02-11-20:33:07,4796,972,85
2022-02-12-12:34:04,6592,965,90
