date,prix100,prix10,prix1
2022-02-01-20:07:12,4019,365,41
2022-02-01-20:37:54,8999,364,40
2022-02-02-20:14:14,4889,425,38
2022-02-06-14:52:57,8990,429,93
2022-02-06-15:24:56,8900,416,89
2022-02-06-22:31:06,8780,397,39
2022-02-07-20:12:43,8192,426,87
2022-02-07-20:25:01,8188,426,87
2022-02-07-20:37:18,8192,429,88
2022-02-07-20:49:37,8191,436,88
2022-02-07-21:01:56,8191,436,87
2022-02-07-21:14:18,8191,436,87
2022-02-10-08:47:00,4970,400,70
2022-02-10-20:14:17,4958,650,69
2022-02-10-20:27:47,4957,650,69
2022-02-10-20:41:17,4957,650,69
2022-02-11-20:32:28,4000,430,37
2022-02-12-12:33:27,2993,354,34
