date,prix100,prix10,prix1
2022-02-01-20:06:41,39994,8890,433
2022-02-01-20:37:23,39996,8891,44
2022-02-02-20:13:44,37992,4092,392
2022-02-06-14:52:28,37591,8796,495
2022-02-06-15:24:26,37600,8899,495
2022-02-06-22:30:36,43949,4490,492
2022-02-07-20:12:14,36947,4195,350
2022-02-07-20:24:31,36945,4195,350
2022-02-07-20:36:48,3694,4194,350
2022-02-07-20:49:07,3694,4195,665
2022-02-07-21:01:26,36943,4194,665
2022-02-07-21:13:48,36940,4193,665
2022-02-10-08:46:28,36300,8998,390
2022-02-10-20:13:41,36295,4100,645
2022-02-10-20:27:12,36294,4100,645
2022-02-10-20:40:44,36294,4100,645
2022-02-11-20:31:58,34000,8988,620
2022-02-12-12:32:57,25597,8799,599
