date,prix100,prix10,prix1
2022-01-06-10:53:59,1000,96,3
2022-01-06-13:32:16,0,0,50
2022-01-06-14:11:40,0,0,666
2022-01-06-14:15:44,0,0,665
2022-01-07-19:53:05,599998,5479,4498
2022-01-07-20:01:22,99999,9545,783
2022-01-07-20:09:33,99999,8999,784
2022-01-07-20:17:42,99999,8999,782
2022-01-07-20:25:50,99999,9546,78
2022-01-07-20:34:05,99999,9546,780
2022-01-12-09:45:41,59819,3993,0
2022-01-12-10:11:33,59819,3992,0
2022-01-12-10:44:50,59819,3992,0
2022-01-12-11:18:03,59819,3993,12
2022-01-12-11:51:26,59819,3992,12
2022-01-21-23:40:03,2688,2996,292
2022-01-22-01:02:36,26887,2900,284
2022-01-22-14:01:38,26880,2300,250
2022-01-22-14:14:42,26879,2299,250
2022-01-22-14:27:48,26879,2297,250
2022-01-22-14:40:52,26879,2297,250
2022-01-22-14:53:56,26879,2297,250
2022-01-22-15:07:10,26879,2297,220
2022-01-22-15:20:18,26879,2290,220
2022-01-22-15:33:26,26879,2290,220
2022-01-22-15:48:16,26879,2290,199
2022-01-22-16:01:23,26879,2297,199
2022-01-22-16:14:31,26879,2297,199
2022-01-22-16:27:39,26879,2296,220
2022-01-22-16:40:48,26879,2295,220
2022-01-22-16:53:54,26878,2293,250
2022-01-22-17:07:03,26878,2293,249
2022-01-22-17:20:09,21999,2293,249
2022-01-22-17:33:15,21999,2295,248
2022-01-22-17:46:24,21999,2295,247
2022-01-22-17:59:34,21999,2265,247
2022-01-22-18:12:46,21998,2263,246
2022-01-22-18:25:58,21998,2295,245
2022-01-22-18:39:08,21998,1996,244
2022-01-22-18:52:16,21998,1999,243
2022-01-22-19:05:30,21998,1999,243
2022-01-22-19:18:42,21998,2295,242
2022-01-22-19:32:49,21998,2294,242
2022-01-22-19:46:00,21998,2294,242
2022-01-22-19:59:12,21997,2293,242
2022-01-22-23:51:39,21900,2247,239
2022-01-23-22:48:58,21988,2243,234
2022-01-24-19:36:20,26887,2235,197
2022-01-24-21:38:09,26884,2237,191
2022-01-25-18:24:57,26885,2000,183
2022-01-26-15:22:01,26888,2900,220
2022-01-26-15:41:09,27886,2900,234
2022-01-28-09:04:14,28894,2996,279
2022-01-28-10:03:41,28893,2997,277
2022-01-28-11:03:07,28893,2996,276
2022-01-28-12:02:09,28893,2997,248
2022-01-28-13:01:15,28889,2999,246
2022-01-28-14:00:22,28888,2999,249
2022-01-28-14:59:30,28887,2999,279
2022-01-28-15:58:42,28887,2997,280
2022-01-28-16:58:14,28887,2749,280
2022-01-28-17:57:42,28887,2747,278
2022-01-29-10:41:00,28893,2495,237
2022-01-29-11:39:44,28893,2500,237
2022-01-29-12:38:37,28893,2496,199
2022-01-29-13:37:31,28893,2696,197
2022-01-29-21:51:32,28892,2690,255
2022-01-29-22:50:36,28892,2695,254
2022-02-02-20:22:08,21499,2142,63
2022-02-06-14:58:18,21498,2395,206
2022-02-06-22:36:31,28890,1999,203
2022-02-07-20:17:59,28890,2597,220
2022-02-07-20:30:19,25500,2596,229
2022-02-07-20:42:35,25500,2596,228
2022-02-07-20:54:56,25500,2500,239
2022-02-07-21:07:12,25500,2596,239
2022-02-10-08:52:34,31993,3796,298
2022-02-10-20:20:11,31991,3599,130
2022-02-10-20:33:37,31991,3599,129
2022-02-11-20:37:56,31991,3496,120
2022-02-12-12:38:52,31991,3197,107
