date,prix100,prix10,prix1
2022-01-22-23:55:42,0,0,0
2022-01-24-09:16:56,0,67000,7994
2022-01-24-19:39:42,0,67970,8590
2022-01-24-21:41:36,0,67960,8113
2022-01-25-18:28:17,0,99996,7940
2022-01-26-15:26:03,0,0,7194
2022-01-26-15:45:12,0,0,7195
2022-01-28-09:08:30,0,69999,6997
2022-01-28-10:08:03,0,69999,6996
2022-01-28-11:07:14,0,0,7998
2022-01-28-12:06:16,0,0,8097
2022-01-28-13:05:22,0,65000,8097
2022-01-28-14:04:30,0,65000,8095
2022-01-28-15:03:41,0,64999,8000
2022-01-28-16:03:05,0,64999,7988
2022-01-28-17:02:33,0,64999,7984
2022-01-28-18:02:06,0,64999,7940
2022-01-29-10:44:56,0,65000,7740
2022-01-29-11:43:45,0,65000,7700
2022-01-29-12:42:42,0,65000,7699
2022-01-29-13:41:29,0,65000,7719
2022-01-29-21:55:44,0,69996,8199
2022-01-29-22:54:34,0,69996,8198
2022-02-02-20:24:27,0,69993,6663
2022-02-06-15:00:38,0,69992,8500
2022-02-06-22:39:13,0,69999,8794
2022-02-07-20:20:17,0,0,19996
2022-02-07-20:32:36,0,0,19995
2022-02-07-20:44:54,0,0,19800
2022-02-07-20:57:14,0,0,19800
2022-02-07-21:09:31,0,0,19798
2022-02-10-08:54:58,0,124999,10849
2022-02-10-20:22:43,0,124999,9992
2022-02-10-20:36:09,0,124999,9993
2022-02-11-20:40:19,0,124970,8498
2022-02-12-12:41:13,0,124966,10268
