date,prix100,prix10,prix1
2022-01-22-23:53:08,0,39999,1694
2022-01-23-22:50:08,0,24799,2196
2022-01-24-19:37:30,0,39000,1587
2022-01-24-21:39:22,0,39000,1498
2022-01-25-18:26:06,0,36999,2198
2022-01-26-15:23:24,0,39999,8200
2022-01-26-15:42:35,0,39999,8199
2022-01-28-09:05:47,0,0,8665
2022-01-28-10:05:11,0,0,8600
2022-01-28-11:04:32,0,0,8667
2022-01-28-12:03:34,0,0,8665
2022-01-28-13:02:40,0,0,8500
2022-01-28-14:01:48,0,0,8667
2022-01-28-15:00:57,0,0,8661
2022-01-28-16:00:09,0,0,8600
2022-01-28-16:59:42,0,0,8112
2022-01-28-17:59:11,0,0,8664
2022-01-29-10:42:20,459000,39999,8969
2022-01-29-11:41:07,459000,39999,8965
2022-01-29-12:40:01,459000,39999,8959
2022-01-29-13:38:53,0,459000,8962
2022-01-29-21:52:55,459000,44999,8898
2022-01-29-22:51:59,459000,44999,8891
2022-02-02-20:22:45,459000,37997,8096
2022-02-06-14:58:55,458999,44997,2180
2022-02-06-22:37:31,0,456999,2655
2022-02-07-20:18:36,0,459000,2650
2022-02-07-20:30:55,0,459000,2200
2022-02-07-20:43:13,459000,26000,2646
2022-02-07-20:55:33,459000,26000,2645
2022-02-07-21:07:49,459000,26000,2644
2022-02-10-08:53:12,459000,40997,2950
2022-02-10-20:20:51,459000,40996,2964
2022-02-10-20:34:17,459000,40997,2963
2022-02-11-20:38:34,459000,40000,2981
2022-02-12-12:39:30,459000,39996,8169
