date,prix100,prix10,prix1
2022-02-02-20:18:41,2011,337,17
2022-02-06-14:54:51,2199,297,26
2022-02-06-22:33:01,1494,295,15
2022-02-07-20:14:35,1248,296,28
2022-02-07-20:26:54,1248,296,28
2022-02-07-20:39:11,1248,296,28
2022-02-07-20:51:30,1248,296,28
2022-02-07-21:03:48,1248,296,28
2022-02-07-21:16:11,1248,296,28
2022-02-10-08:48:57,1860,294,25
2022-02-10-20:16:23,1863,296,27
2022-02-10-20:29:52,1863,296,27
2022-02-10-20:43:20,1863,296,27
2022-02-11-20:34:24,1849,291,27
2022-02-12-12:35:22,1849,200,26
