date,prix100,prix10,prix1
2022-01-23-22:47:30,1212,139,19
2022-01-24-19:34:51,1179,394,19
2022-01-24-21:36:38,1150,366,56
2022-01-25-18:23:32,1144,360,53
2022-01-26-15:20:15,1198,273,39
2022-01-26-15:39:17,1197,271,39
2022-01-28-09:02:26,1189,34,38
2022-01-28-10:01:50,1191,164,38
2022-01-28-11:01:13,1191,164,38
2022-01-28-12:00:20,1192,163,37
2022-01-28-12:59:25,1189,163,37
2022-01-28-13:58:30,1186,145,37
2022-01-28-14:57:41,1185,117,53
2022-01-28-15:56:51,1186,145,53
2022-01-28-16:56:18,1180,139,53
2022-01-28-17:55:46,1185,136,53
2022-01-29-10:39:17,1181,36,40
2022-01-29-11:37:58,1181,117,40
2022-01-29-12:36:50,1181,110,40
2022-01-29-13:35:44,1179,106,39
2022-01-29-21:49:42,1100,95,38
2022-01-29-22:48:51,1165,65,38
2022-02-02-20:20:51,1154,130,23
2022-02-06-14:57:02,999,69,28
2022-02-06-22:35:14,999,95,27
2022-02-07-20:16:44,997,61,42
2022-02-07-20:29:03,997,61,42
2022-02-07-20:41:20,997,61,42
2022-02-07-20:53:39,997,61,42
2022-02-07-21:05:57,996,79,42
2022-02-10-08:51:14,1165,95,33
2022-02-10-20:18:45,1168,95,25
2022-02-10-20:32:12,1168,110,25
2022-02-10-20:45:42,1168,113,29
2022-02-11-20:36:38,1110,100,20
2022-02-12-12:37:34,1179,70,20
