date,prix100,prix10,prix1
2022-01-23-21:12:43,189900,19996,2261
2022-01-23-21:16:19,189899,19996,2261
2022-01-23-21:18:52,189899,19999,2261
2022-01-23-21:20:57,189899,19999,2261
2022-01-23-21:23:10,189899,19999,2261
2022-01-23-22:30:41,189900,19940,2000
2022-01-23-22:43:20,189900,19940,2000
2022-01-23-22:45:53,189900,19940,1999
2022-01-23-22:47:11,189900,19940,1999
2022-01-24-19:34:32,188999,19945,1987
2022-01-24-21:36:19,219899,22934,1998
2022-01-25-18:23:13,218991,21995,2184
2022-01-26-15:19:52,218897,21990,2192
2022-01-26-15:38:51,218000,21990,2191
2022-01-28-09:01:59,240998,26693,2798
2022-01-28-10:01:22,242996,26693,2888
2022-01-28-11:00:47,242896,26691,2887
2022-01-28-11:59:54,242892,26676,2885
2022-01-28-12:58:58,242789,25000,2881
2022-01-28-13:58:04,244990,26596,2880
2022-01-28-14:57:15,244997,26596,2879
2022-01-28-15:56:24,269999,26594,2875
2022-01-28-16:55:50,275000,26594,2872
2022-01-28-17:55:17,299999,26596,2870
2022-01-29-10:38:52,298876,29934,4498
2022-01-29-11:37:32,298948,29929,2997
2022-01-29-12:36:24,298898,29931,2995
2022-01-29-13:35:19,298896,29932,2996
2022-01-29-21:49:13,289999,29907,4494
2022-01-29-22:48:26,249998,29903,4494
