date,prix100,prix10,prix1
2022-01-22-23:55:52,160000,0,0
2022-01-24-09:17:05,19990,3333,196
2022-01-24-09:20:22,19990,3333,197
2022-01-24-09:23:42,19990,3333,197
2022-01-24-19:39:52,18979,3776,199
2022-01-24-21:41:46,18980,3775,188
2022-01-25-18:28:26,19999,3772,169
2022-01-26-15:26:14,19788,3766,196
2022-01-26-15:45:23,19788,3766,196
2022-01-28-09:08:41,25797,3700,443
2022-01-28-10:08:15,25797,3695,440
2022-01-28-11:07:25,25750,3599,199
2022-01-28-12:06:28,25797,3599,444
2022-01-28-13:05:33,25799,3599,443
2022-01-28-14:04:42,25798,3599,443
2022-01-28-15:03:53,25799,3596,440
2022-01-28-16:03:18,25799,3596,439
2022-01-28-17:02:45,25799,3596,440
2022-01-28-18:02:17,25795,3599,440
2022-01-29-10:45:06,27493,3770,440
2022-01-29-11:43:56,27493,3770,443
2022-01-29-12:42:53,27494,3769,199
2022-01-29-13:41:40,27770,3776,450
2022-01-29-21:55:55,29660,2995,100
2022-01-29-22:54:45,29664,2996,571
2022-02-02-20:24:36,29484,3649,509
2022-02-06-15:00:47,29500,3776,296
2022-02-06-22:39:23,0,3700,500
2022-02-07-20:20:26,36998,3699,478
2022-02-07-20:32:45,36998,3700,479
2022-02-07-20:45:03,36998,3700,479
2022-02-07-20:57:24,36998,3700,479
2022-02-07-21:09:40,36998,3700,480
2022-02-10-08:55:08,0,59996,899
2022-02-10-20:22:54,119998,12496,1197
2022-02-10-20:36:19,119998,12496,1196
2022-02-11-20:40:28,119995,11291,1248
2022-02-12-12:41:23,119993,9996,999
