date,prix100,prix10,prix1
2022-01-22-23:52:39,0,8746996,349995
2022-01-23-22:49:49,0,3746996,349978
2022-01-24-19:37:11,0,3746999,359997
2022-01-24-21:39:02,0,3746991,357999
2022-01-25-18:25:48,0,3649999,349993
2022-01-26-15:23:01,0,3650000,363973
2022-01-26-15:42:12,0,3650000,349999
2022-01-28-09:05:23,0,3744999,344979
2022-01-28-10:04:46,0,3744999,345000
2022-01-28-11:04:09,0,3744999,349999
2022-01-28-12:03:11,0,3744999,349996
2022-01-28-13:02:16,0,3744999,349998
2022-01-28-14:01:25,0,3744999,352698
2022-01-28-15:00:33,0,3744999,352799
2022-01-28-15:59:46,0,3700000,354995
2022-01-28-16:59:18,0,3700000,354893
2022-01-28-17:58:47,0,3699999,354996
2022-01-29-10:41:59,0,3500000,344979
2022-01-29-11:40:45,0,3500000,344995
2022-01-29-12:39:39,0,3500000,344993
2022-01-29-13:38:30,0,3499999,346781
2022-01-29-21:52:32,0,3499900,346780
2022-01-29-22:51:36,0,3499900,339995
2022-02-02-20:24:40,0,3666999,349789
2022-02-06-15:00:52,0,3639997,354894
2022-02-06-22:39:28,0,3629999,361947
2022-02-07-20:20:31,0,3599999,348750
2022-02-07-20:32:50,0,3560000,348889
2022-02-07-20:45:07,0,3560000,350000
2022-02-07-20:57:28,0,3560000,349999
2022-02-07-21:09:45,0,3560000,350000
2022-02-10-08:55:13,0,3500000,343000
2022-02-10-20:22:58,0,3560090,345000
2022-02-10-20:36:24,0,3560000,344998
2022-02-11-20:40:33,0,3400000,339892
2022-02-12-12:41:27,0,3400000,333111
