date,prix100,prix10,prix1
2022-01-22-23:54:44,376121,37953,8767
2022-01-24-09:16:06,369999,37479,8961
2022-01-24-19:38:52,375000,37956,8896
2022-01-24-21:40:45,370000,37964,8960
2022-01-25-18:27:26,375997,36999,8900
2022-01-26-15:25:02,372899,36000,8827
2022-01-26-15:44:12,248995,22999,2419
2022-01-28-09:07:28,376886,37370,8798
2022-01-28-10:06:59,376886,37370,8799
2022-01-28-11:06:11,376886,37370,8800
2022-01-28-12:05:14,370000,37370,8817
2022-01-28-13:04:19,370000,37370,8826
2022-01-28-14:03:27,376884,37366,8817
2022-01-28-15:02:39,376885,37370,8840
2022-01-28-16:01:54,376887,37337,8800
2022-01-28-17:01:27,376887,37336,8800
2022-01-28-18:01:00,376887,37331,8798
2022-01-29-10:43:56,369899,37259,8789
2022-01-29-11:42:45,369899,37259,8788
2022-01-29-12:41:40,364990,37259,8788
2022-01-29-13:40:29,365000,37256,8788
2022-01-29-21:54:42,359991,36997,8715
2022-01-29-22:53:35,357986,36997,8746
2022-02-02-20:24:54,374997,36966,8675
2022-02-06-15:01:05,360000,37000,8700
2022-02-06-22:39:42,368998,35550,8800
2022-02-07-20:20:45,360000,35996,8600
2022-02-07-20:33:04,359997,3564,8600
2022-02-07-20:45:21,359997,35650,8600
2022-02-07-20:57:42,359990,35650,8795
2022-02-07-21:09:59,350000,35650,8795
2022-02-10-08:55:27,365000,35000,8620
2022-02-10-20:23:14,366998,36990,8650
2022-02-10-20:36:39,366998,36996,8650
2022-02-11-20:40:47,349988,34999,8685
2022-02-12-12:41:42,358995,34996,8659
