date,prix100,prix10,prix1
2022-01-22-23:55:00,0,366661,37655
2022-01-24-09:16:20,0,369926,37000
2022-01-24-19:39:06,0,373994,37546
2022-01-24-21:40:59,0,365443,37557
2022-01-25-18:27:40,0,369994,37770
2022-01-26-15:25:17,0,379999,37994
2022-01-26-15:44:28,0,379996,37993
2022-01-28-09:07:45,3700000,359999,36000
2022-01-28-10:07:16,3700000,366997,36949
2022-01-28-11:06:27,3700000,367996,36950
2022-01-28-12:05:30,3700000,379796,37811
2022-01-28-13:04:36,3700000,379796,37820
2022-01-28-14:03:43,3940000,379400,37798
2022-01-28-15:02:56,3940000,379797,37845
2022-01-28-16:02:18,3940000,379776,37816
2022-01-28-17:01:44,3940000,379769,37693
2022-01-28-18:01:18,3940000,379699,37695
2022-01-29-10:44:12,3700000,364994,35497
2022-01-29-11:43:01,3700000,364991,35878
2022-01-29-12:41:57,3700000,364975,35990
2022-01-29-13:40:45,3700000,364966,37449
2022-01-29-21:55:01,3699999,356966,36155
2022-01-29-22:53:51,3699999,356955,34999
2022-02-02-20:23:50,3939999,366000,37084
2022-02-06-15:00:01,3720000,369949,37415
2022-02-06-22:38:36,3939998,366770,36785
2022-02-07-20:19:41,3620000,356425,35425
2022-02-07-20:31:59,3620000,356443,35473
2022-02-07-20:44:17,3620000,356443,35470
2022-02-07-20:56:38,3620000,356443,35483
2022-02-07-21:08:54,3620000,350000,35491
2022-02-10-08:54:20,3600000,354296,35500
2022-02-10-20:22:01,3599999,355970,36200
2022-02-10-20:35:29,3599999,355965,36194
2022-02-11-20:39:41,3599997,349997,35995
2022-02-12-12:40:36,3900000,352945,35499
