date,prix100,prix10,prix1
2022-02-01-19:28:52,11997,1341,194
2022-02-01-19:30:36,11996,1341,194
2022-02-01-19:37:26,11996,1341,194
2022-02-01-19:44:34,11996,1341,194
2022-02-01-19:46:58,11996,1342,194
2022-02-01-19:52:36,11994,1342,194
2022-02-01-19:59:19,11994,1342,194
2022-02-01-20:03:20,11985,1342,194
2022-02-01-20:05:27,11983,1342,194
2022-02-01-20:36:08,10998,1343,260
2022-02-02-20:07:51,9861,1036,149
2022-02-02-20:12:33,9860,1036,149
2022-02-02-20:27:29,9800,1036,149
2022-02-06-14:51:16,12744,1196,129
2022-02-06-15:23:14,12745,1197,265
2022-02-06-22:29:22,12598,1299,264
2022-02-07-20:11:01,12694,1196,279
2022-02-07-20:23:20,12692,1196,279
2022-02-07-20:35:36,12689,1196,279
2022-02-07-20:47:54,12589,1196,279
2022-02-07-21:00:14,9994,1100,279
2022-02-07-21:12:36,9995,1099,279
2022-02-10-08:42:24,10987,1271,292
2022-02-10-08:45:13,10987,1271,292
2022-02-10-20:12:21,10996,994,294
2022-02-10-20:25:55,11113,995,294
2022-02-10-20:39:22,11000,995,294
2022-02-11-20:30:43,11119,1276,238
2022-02-12-12:31:44,9987,1270,233
