date,prix100,prix10,prix1
2022-02-01-20:38:56,1643,134,34
2022-02-02-20:15:16,2260,347,18
2022-02-06-14:53:59,1789,206,15
2022-02-06-22:32:07,1293,169,9
2022-02-07-20:13:43,1087,134,14
2022-02-07-20:26:01,1088,134,14
2022-02-07-20:38:19,1085,133,14
2022-02-07-20:50:38,1090,130,13
2022-02-07-21:02:56,1089,130,13
2022-02-07-21:15:19,1090,131,13
2022-02-10-08:48:04,1619,169,19
2022-02-10-20:15:26,0,0,2048807
2022-02-10-20:28:54,1799,160,26
2022-02-10-20:42:22,1799,170,27
2022-02-11-20:33:31,1000,110,3
2022-02-12-12:34:29,1448,139,9
