date,prix100,prix10,prix1
2022-02-01-19:28:47,0,0,0
2022-02-01-19:30:31,4799,462,58
2022-02-01-19:37:21,4800,461,58
2022-02-01-19:44:29,4799,460,58
2022-02-01-19:46:53,4799,460,58
2022-02-01-19:52:31,4798,479,58
2022-02-01-19:59:14,4798,479,58
2022-02-01-20:03:15,4794,479,58
2022-02-01-20:05:22,4798,479,58
2022-02-01-20:36:03,4887,463,57
2022-02-02-20:07:46,4779,475,52
2022-02-02-20:12:28,4779,475,52
2022-02-02-20:27:24,4778,474,51
2022-02-06-14:51:11,4858,470,59
2022-02-06-15:23:09,4859,471,59
2022-02-06-22:29:17,8996,470,52
2022-02-07-20:10:56,8995,473,57
2022-02-07-20:23:15,8998,474,56
2022-02-07-20:35:31,4000,474,56
2022-02-07-20:47:49,8999,475,56
2022-02-07-21:00:09,8998,476,56
2022-02-07-21:12:31,8998,476,56
2022-02-10-08:42:18,2899,295,30
2022-02-10-08:45:08,2899,295,30
2022-02-10-20:12:15,8797,456,53
2022-02-10-20:25:49,8798,456,53
2022-02-10-20:39:16,8799,459,55
2022-02-11-20:30:37,4881,451,99
2022-02-12-12:31:39,12287,1239,145
