date,prix100,prix10,prix1
2022-01-06-10:52:37,622,46,4
2022-01-06-13:31:44,650,42,2
2022-01-06-14:11:16,649,40,0
2022-01-06-14:15:21,648,40,0
2022-01-07-19:52:42,754,46,4
2022-01-07-20:00:58,754,46,4
2022-01-07-20:09:10,754,46,4
2022-01-07-20:17:19,753,4,3
2022-01-07-20:25:28,753,4,3
2022-01-07-20:33:42,753,4,3
2022-01-12-09:45:20,8,55,3
2022-01-12-10:11:11,8,54,2
2022-01-12-10:44:27,86,53,0
2022-01-12-11:17:40,86,53,4
2022-01-12-11:51:04,85,5,3
2022-01-21-23:39:39,950,90,9
2022-01-22-01:02:14,958,99,8
2022-01-22-14:01:15,964,91,9
2022-01-22-14:14:21,790,69,8
2022-01-22-14:27:26,800,69,8
2022-01-22-14:40:31,799,69,8
2022-01-22-14:53:35,963,69,8
2022-01-22-15:06:47,962,64,7
2022-01-22-15:19:56,961,60,7
2022-01-22-15:33:03,961,60,7
2022-01-22-15:47:56,960,79,6
2022-01-22-16:01:01,965,79,6
2022-01-22-16:14:09,965,79,4
2022-01-22-16:27:17,965,90,9
2022-01-22-16:40:25,965,90,1
2022-01-22-16:53:33,965,65,1
2022-01-22-17:06:40,965,60,1
2022-01-22-17:19:47,966,90,1
2022-01-22-17:32:54,949,79,1
2022-01-22-17:46:01,949,91,8
2022-01-22-17:59:12,966,69,8
2022-01-22-18:12:23,966,91,8
2022-01-22-18:25:34,966,100,9
2022-01-22-18:38:47,967,106,9
2022-01-22-18:51:54,966,106,8
2022-01-22-19:05:07,966,79,7
2022-01-22-19:18:19,959,70,7
2022-01-22-19:32:27,1191,90,8
2022-01-22-19:45:39,1190,90,8
2022-01-22-19:58:48,1190,77,8
2022-01-22-23:51:16,1297,196,6
2022-01-23-22:48:39,699,33,2
2022-01-24-19:36:00,669,34,4
2022-01-24-21:37:48,674,33,2
2022-01-25-18:24:38,1166,47,8
2022-01-26-15:21:36,1265,91,6
2022-01-26-15:40:43,1263,99,10
2022-01-28-09:03:47,994,94,4
2022-01-28-10:03:13,994,93,4
2022-01-28-11:02:39,994,40,4
2022-01-28-12:01:41,993,91,5
2022-01-28-13:00:47,990,64,5
2022-01-28-13:59:53,987,79,3
2022-01-28-14:59:03,985,74,2
2022-01-28-15:58:13,969,74,2
2022-01-28-16:57:45,985,130,9
2022-01-28-17:57:13,982,127,8
2022-01-29-10:40:35,962,66,5
2022-01-29-11:39:18,968,50,7
2022-01-29-12:38:10,967,66,6
2022-01-29-13:37:04,966,59,4
2022-01-29-21:51:06,490,45,2
2022-01-29-22:50:09,497,46,4
2022-02-02-20:21:48,970,79,2
2022-02-06-14:57:59,679,35,3
2022-02-06-22:36:11,670,19,2
2022-02-07-20:17:40,485,60,1
2022-02-07-20:29:59,485,59,1
2022-02-07-20:42:16,485,50,1
2022-02-07-20:54:36,485,39,1
2022-02-07-21:06:53,485,40,1
2022-02-10-08:52:13,875,73,5
2022-02-10-20:19:50,962,59,1
2022-02-10-20:33:16,962,59,1
2022-02-11-20:37:36,892,69,3
2022-02-12-12:38:32,600,62,1
