date,prix100,prix10,prix1
2022-01-06-10:54:14,9995,1460,45
2022-01-06-13:32:32,9995,1464,235
2022-01-06-14:11:55,0,9995,1464
2022-01-06-14:15:55,0,9995,1464
2022-01-07-19:53:17,2948,1393,3
2022-01-07-20:01:34,2948,1393,5
2022-01-07-20:09:43,2948,1393,9
2022-01-07-20:17:52,2948,1393,9
2022-01-07-20:26:00,2948,1393,9
2022-01-07-20:34:16,2948,1393,8
2022-01-12-09:45:52,298,2999,298
2022-01-12-10:11:44,298,2999,296
2022-01-12-10:45:01,2988,299,295
2022-01-12-11:18:14,2988,2996,294
2022-01-12-11:51:37,2988,2999,29
2022-01-21-23:40:15,2070,1666,5
2022-01-22-01:02:46,12076,1664,166
2022-01-22-14:01:49,12000,1497,160
2022-01-22-14:14:53,11999,1496,160
2022-01-22-14:27:58,11999,1495,161
2022-01-22-14:41:03,11999,1497,160
2022-01-22-14:54:06,11999,1497,160
2022-01-22-15:07:22,11999,1497,158
2022-01-22-15:20:29,11999,1495,160
2022-01-22-15:33:36,11999,1494,161
2022-01-22-15:48:27,11998,1494,161
2022-01-22-16:01:34,11997,1493,161
2022-01-22-16:14:42,11997,1493,161
2022-01-22-16:27:49,11997,1497,141
2022-01-22-16:40:59,11997,1496,141
2022-01-22-16:54:04,11997,1495,160
2022-01-22-17:07:13,11997,1495,160
2022-01-22-17:20:20,11997,1479,160
2022-01-22-17:33:26,11997,1479,160
2022-01-22-17:46:35,11997,1476,161
2022-01-22-17:59:45,11999,1479,160
2022-01-22-18:12:56,11998,1479,163
2022-01-22-18:26:08,11998,1495,163
2022-01-22-18:39:20,11998,999,163
2022-01-22-18:52:27,11998,999,162
2022-01-22-19:05:40,11998,999,163
2022-01-22-19:18:53,11998,1495,127
2022-01-22-19:33:01,11997,1496,127
2022-01-22-19:46:11,11997,1495,127
2022-01-22-19:59:22,11997,1495,127
2022-01-22-23:51:49,11900,1496,120
2022-01-23-22:49:08,11795,1719,159
2022-01-24-19:36:29,11790,1729,164
2022-01-24-21:38:19,11790,1733,159
2022-01-25-18:25:06,11789,1400,138
2022-01-26-15:22:12,11784,1499,141
2022-01-26-15:41:22,11784,1496,139
2022-01-28-09:04:26,11796,1657,179
2022-01-28-10:03:53,11796,1657,179
2022-01-28-11:03:18,11796,1656,185
2022-01-28-12:02:20,11797,1656,150
2022-01-28-13:01:26,11796,1657,114
2022-01-28-14:00:33,0,1654,188
2022-01-28-14:59:42,11789,1657,189
2022-01-28-15:58:53,11789,1657,165
2022-01-28-16:58:26,11789,1655,189
2022-01-28-17:57:55,11789,1657,191
2022-01-29-10:41:11,11710,1643,124
2022-01-29-11:39:55,11710,1643,173
2022-01-29-12:38:48,11709,1641,168
2022-01-29-13:37:42,11709,1630,170
2022-01-29-21:51:43,11704,1616,160
2022-01-29-22:50:47,11703,1619,169
2022-02-02-20:22:17,11499,1190,108
2022-02-06-14:58:27,11589,1914,133
2022-02-06-22:36:41,11590,1910,112
2022-02-07-20:18:09,11590,1197,152
2022-02-07-20:30:28,11590,1196,152
2022-02-07-20:42:45,11590,1197,153
2022-02-07-20:55:05,11590,1196,150
2022-02-07-21:07:22,11590,1197,150
2022-02-10-08:52:43,11703,1455,122
2022-02-10-20:20:21,11700,1999,127
2022-02-10-20:33:48,11700,2000,127
2022-02-11-20:38:06,11704,2096,179
2022-02-12-12:39:01,11700,1996,157
