date,prix100,prix10,prix1
2022-02-02-20:18:31,1995,590,120
2022-02-06-14:54:41,1993,499,989
2022-02-06-22:32:51,2215,965,2200
2022-02-07-20:14:26,1991,49,199
2022-02-07-20:26:44,1990,450,199
2022-02-07-20:39:01,1989,450,199
2022-02-07-20:51:20,1988,450,199
2022-02-07-21:03:39,1988,450,199
2022-02-07-21:16:01,1988,450,199
2022-02-10-08:48:47,1859,999,159
2022-02-10-20:16:12,1794,2500,159
2022-02-10-20:29:41,1794,2500,159
2022-02-10-20:43:09,1794,2500,159
2022-02-11-20:34:14,2174,956,2196
2022-02-12-12:35:12,2000,993,224
