date,prix100,prix10,prix1
2022-01-22-23:52:51,0,91993,9490
2022-01-23-22:49:59,0,91992,9499
2022-01-24-19:37:20,1000000,91993,9597
2022-01-24-21:39:11,1000000,91993,9597
2022-01-25-18:25:57,1000000,91992,9597
2022-01-26-15:23:12,1000000,91992,9790
2022-01-26-15:42:23,1000000,91992,9790
2022-01-28-09:05:35,1000000,91996,8999
2022-01-28-10:04:58,1000000,91996,8999
2022-01-28-11:04:20,1000000,91996,8990
2022-01-28-12:03:22,1000000,91997,8999
2022-01-28-13:02:28,1000000,91997,8999
2022-01-28-14:01:36,1000000,91997,9994
2022-01-28-15:00:44,1000000,91997,9996
2022-01-28-15:59:58,1000000,91996,8999
2022-01-28-16:59:30,1000000,91996,9994
2022-01-28-17:58:59,1000000,91996,9993
2022-01-29-10:42:10,1000000,91996,9992
2022-01-29-11:40:56,1000000,91996,9993
2022-01-29-12:39:50,1000000,91996,9995
2022-01-29-13:38:41,1000000,91996,9996
2022-01-29-21:52:43,1000000,91995,9993
2022-01-29-22:51:48,1000000,91995,9993
2022-02-02-20:22:36,1000000,91995,9993
2022-02-06-14:58:46,999999,91996,9978
2022-02-06-22:37:00,999999,91996,17995
2022-02-07-20:18:27,999999,91997,10998
2022-02-07-20:30:46,999999,91000,10998
2022-02-07-20:43:03,999999,91000,10998
2022-02-07-20:55:24,999999,91000,10998
2022-02-07-21:07:40,999999,91000,10998
2022-02-10-08:53:02,999999,169997,16479
2022-02-10-20:20:42,999999,169996,16495
2022-02-10-20:34:07,999999,169996,16495
2022-02-11-20:38:24,999999,160000,14800
2022-02-12-12:39:20,999999,160000,14899
