date,prix100,prix10,prix1
2022-02-02-20:18:59,5950,735,59
2022-02-06-14:55:08,4000,777,60
2022-02-06-22:33:18,4974,775,79
2022-02-07-20:14:52,5799,770,65
2022-02-07-20:27:10,5799,770,65
2022-02-07-20:39:28,5798,770,65
2022-02-07-20:51:46,5798,770,65
2022-02-07-21:04:05,5798,770,65
2022-02-07-21:16:27,5798,774,65
2022-02-10-08:49:15,5963,774,83
2022-02-10-20:16:41,5940,773,82
2022-02-10-20:30:10,5940,773,82
2022-02-10-20:43:38,5940,773,82
2022-02-11-20:34:42,5695,771,63
2022-02-12-12:35:39,4884,764,80
