date,prix100,prix10,prix1
2022-02-02-20:19:13,5890,996,97
2022-02-06-14:55:23,7907,790,85
2022-02-06-22:33:33,7492,997,222
2022-02-07-20:15:06,7477,994,84
2022-02-07-20:27:24,7477,994,84
2022-02-07-20:39:42,7477,994,84
2022-02-07-20:52:01,7477,994,84
2022-02-07-21:04:19,7477,994,84
2022-02-07-21:16:42,7477,0,0
2022-02-10-08:49:30,6500,993,797
2022-02-10-20:16:56,7489,999,798
2022-02-10-20:30:25,7492,999,798
2022-02-10-20:43:54,7000,999,798
2022-02-11-20:34:57,7799,996,100
2022-02-12-12:35:53,6496,996,798
