date,prix100,prix10,prix1
2022-02-01-19:28:39,0,0,0
2022-02-01-19:30:21,8194,330,32
2022-02-01-19:37:11,8194,330,32
2022-02-01-19:44:19,8194,330,32
2022-02-01-19:46:43,8194,330,32
2022-02-01-19:52:20,8193,330,31
2022-02-01-19:59:04,8296,330,34
2022-02-01-20:03:05,8298,330,34
2022-02-01-20:05:12,8193,330,34
2022-02-01-20:35:52,8099,329,33
2022-02-02-20:07:36,8899,397,52
2022-02-02-20:12:18,8899,397,52
2022-02-02-20:27:15,8901,397,52
2022-02-06-14:51:01,4187,424,91
2022-02-06-15:22:59,4184,424,42
2022-02-06-22:29:07,8192,390,29
2022-02-07-20:10:46,8194,390,40
2022-02-07-20:23:05,8194,390,40
2022-02-07-20:35:21,8200,350,40
2022-02-07-20:47:40,8200,354,39
2022-02-07-21:00:00,8200,354,38
2022-02-07-21:12:20,8198,354,38
2022-02-10-08:42:09,8184,369,30
2022-02-10-08:44:58,8184,369,30
2022-02-10-20:12:05,8089,432,37
2022-02-10-20:25:39,8082,435,37
2022-02-10-20:39:06,2998,435,37
2022-02-11-20:30:27,2200,416,40
2022-02-12-12:31:29,2189,390,75
2022-09-06-01:10:29,2496,995,70
