date,prix100,prix10,prix1
2022-01-22-23:53:53,7332,996,191
2022-01-24-09:15:24,7495,962,184
2022-01-24-19:38:09,7493,966,188
2022-01-24-21:40:01,7493,994,186
2022-01-25-18:26:44,7289,1996,191
2022-01-26-15:24:10,6998,1993,247
2022-01-26-15:43:20,6998,1993,245
2022-01-28-09:06:37,6996,1972,299
2022-01-28-10:06:04,6996,1972,100
2022-01-28-11:05:19,6996,1971,100
2022-01-28-12:04:22,6996,1971,299
2022-01-28-13:03:28,6996,699,299
2022-01-28-14:02:36,6993,1971,109
2022-01-28-15:01:46,6993,1971,109
2022-01-28-16:00:59,6898,1971,108
2022-01-28-17:00:32,6899,1970,107
2022-01-28-18:00:03,6898,1970,102
2022-01-29-10:43:06,6890,1963,244
2022-01-29-11:41:55,6890,1963,246
2022-01-29-12:40:50,6888,1966,247
2022-01-29-13:39:40,6887,1796,298
2022-01-29-21:53:43,6000,1967,297
2022-01-29-22:52:45,6000,1967,297
2022-02-01-19:29:17,0,0,0
2022-02-01-19:30:55,12948,1994,295
2022-02-01-19:37:45,12947,1994,295
2022-02-01-19:44:52,12947,1994,295
2022-02-01-19:47:17,12947,1994,295
2022-02-01-19:52:55,12947,1994,295
2022-02-01-19:59:37,12947,1994,295
2022-02-01-20:03:39,12947,1994,295
2022-02-01-20:05:47,12947,1994,295
2022-02-01-20:36:26,12947,1994,295
2022-02-02-20:08:09,12911,1992,103
2022-02-02-20:12:51,12911,1992,103
2022-02-02-20:27:48,12912,1992,103
2022-02-06-14:51:34,11740,1760,273
2022-02-06-15:23:32,11000,1761,273
2022-02-06-22:29:40,9998,1750,110
2022-02-07-20:11:19,9888,999,1500
2022-02-07-20:23:38,9887,999,1500
2022-02-07-20:35:54,9887,999,1500
2022-02-07-20:48:13,9887,999,1500
2022-02-07-21:00:33,9887,936,1500
2022-02-07-21:12:54,9887,936,1500
2022-02-10-08:45:33,8979,1711,105
2022-02-10-20:12:42,8968,1711,299
2022-02-10-20:26:14,8968,1711,299
2022-02-10-20:39:42,0,1711,299
2022-02-11-20:31:02,8969,1736,293
2022-02-12-12:32:03,8967,1736,102
