date,prix100,prix10,prix1
2022-02-02-20:18:47,6520,639,66
2022-02-06-14:54:57,6493,674,296
2022-02-06-22:33:07,6496,639,65
2022-02-07-20:14:42,7496,899,65
2022-02-07-20:27:00,7497,899,65
2022-02-07-20:39:17,7496,899,65
2022-02-07-20:51:36,7494,899,65
2022-02-07-21:03:54,7496,899,65
2022-02-07-21:16:17,7000,899,54
2022-02-10-08:49:04,4274,765,75
2022-02-10-20:16:29,6492,750,74
2022-02-10-20:29:59,6492,750,74
2022-02-10-20:43:26,6492,750,74
2022-02-11-20:34:30,7050,746,76
2022-02-12-12:35:28,5491,745,74
