date,prix100,prix10,prix1
2022-02-01-20:45:13,0,0,2048807
2022-02-02-20:15:34,1868,175,91
2022-02-06-14:54:17,1586,200,17
2022-02-06-22:32:27,1298,194,21
2022-02-07-20:14:02,1190,100,76
2022-02-07-20:26:20,1122,100,76
2022-02-07-20:38:37,1120,100,76
2022-02-07-20:50:56,1119,100,76
2022-02-07-21:03:15,1118,100,76
2022-02-07-21:15:37,1119,100,76
2022-02-10-08:48:23,1698,199,90
2022-02-10-20:15:46,1793,196,1687
2022-02-10-20:29:14,1792,196,1687
2022-02-10-20:42:43,0,1792,199
2022-02-11-20:33:49,1499,175,21
2022-02-12-12:34:47,1774,172,87
