date,prix100,prix10,prix1
2022-01-24-09:21:01,9000000,669994,89892
2022-01-24-19:40:34,9000000,669994,89889
2022-01-24-21:42:31,9000000,669991,89877
2022-01-25-18:29:09,8599999,649999,89864
2022-01-26-15:27:01,8599999,666992,84995
2022-01-26-15:46:11,8599999,666992,84996
2022-01-28-09:09:29,8599998,639979,83988
2022-01-28-10:09:03,8599998,639976,83988
2022-01-28-11:08:11,8599998,639970,83000
2022-01-28-12:07:15,8599998,639960,83000
2022-01-28-13:06:21,8599998,639955,83982
2022-01-28-14:05:31,8400000,639950,83890
2022-01-28-15:04:41,8199999,639947,83889
2022-01-28-16:04:05,8199999,639943,83884
2022-01-28-17:03:33,8199999,639939,83883
2022-01-28-18:03:06,8199999,639935,83881
2022-01-29-10:45:52,8199999,636594,83598
2022-01-29-11:44:42,8199999,636599,83596
2022-01-29-12:43:39,8199999,636599,83594
2022-01-29-13:42:27,8199999,637915,83699
2022-01-29-21:56:44,8199999,636496,83741
2022-01-29-22:55:30,8199999,636499,83746
2022-02-02-20:26:01,8198999,617997,80974
2022-02-06-15:02:10,7999999,764997,74417
2022-02-06-22:40:53,7999998,769954,74167
2022-02-07-20:21:52,7499999,649999,69900
2022-02-07-20:34:08,7499999,649999,69900
2022-02-07-20:46:26,7499999,649999,69903
2022-02-07-20:58:46,7499999,649999,69906
2022-02-07-21:11:07,7499999,697999,69906
2022-02-10-20:24:22,6999990,649994,67915
2022-02-10-20:37:48,6999990,649993,67914
2022-02-11-20:41:54,6999990,616996,65512
2022-02-12-12:42:47,6999990,616942,65476
