date,prix100,prix10,prix1
2022-01-24-09:20:56,21986,1799,187
2022-01-24-19:40:30,21985,1799,184
2022-01-24-21:42:26,21985,1991,184
2022-01-25-18:29:04,0,1999,184
2022-01-26-15:26:55,394400,44943,6482
2022-01-26-15:46:06,394400,44943,6482
2022-01-28-09:09:23,199997,33363,8298
2022-01-28-10:08:57,199997,33363,8298
2022-01-28-11:08:05,199996,33363,8298
2022-01-28-12:07:09,199995,33362,8298
2022-01-28-13:06:15,199994,33362,8298
2022-01-28-14:05:25,199994,33362,8298
2022-01-28-15:04:35,199994,33362,8298
2022-01-28-16:03:59,199994,33360,8298
2022-01-28-17:03:27,199990,33356,8296
2022-01-28-18:03:00,199990,33356,8295
2022-01-29-10:45:46,196999,19500,8293
2022-01-29-11:44:37,196999,19496,8293
2022-01-29-12:43:34,196998,19497,8293
2022-01-29-13:42:21,196998,19495,8293
2022-01-29-21:56:38,190700,16000,8290
2022-01-29-22:55:24,196996,17999,8290
2022-02-02-20:25:57,95000,12274,1975
2022-02-06-15:02:05,98996,8995,998
2022-02-06-22:40:48,98994,8996,997
2022-02-07-20:21:48,57997,4997,993
2022-02-07-20:34:04,57997,4997,993
2022-02-07-20:46:21,57997,4997,993
2022-02-07-20:58:42,57996,4996,993
2022-02-07-21:11:02,57995,4996,993
2022-02-10-20:24:17,57987,4499,449
2022-02-10-20:37:42,57987,4499,449
2022-02-11-20:41:49,39899,3996,445
2022-02-12-12:42:42,39900,3799,444
