date,prix100,prix10,prix1
2022-01-24-09:21:44,0,720705,220701
2022-01-24-09:24:06,14945,1299,105
2022-01-24-19:43:53,0,720705,220701
2022-01-24-21:42:55,0,720705,105
2022-01-25-18:31:27,14923,1336,99
2022-01-25-21:52:19,14924,1330,98
2022-01-25-22:06:40,14924,1330,98
2022-01-25-22:09:12,14918,1330,98
2022-01-26-15:16:21,14913,1326,129
2022-01-26-15:27:14,14913,1326,129
2022-01-26-15:46:24,14913,1326,129
2022-01-28-09:09:41,16476,1379,127
2022-01-28-10:09:16,16470,1350,127
2022-01-28-11:08:23,16470,1350,127
2022-01-28-12:07:28,16469,1349,127
2022-01-28-13:06:34,16470,1349,127
2022-01-28-14:05:45,16470,1349,127
2022-01-28-15:04:55,15999,1349,127
2022-01-28-16:04:18,15999,1349,127
2022-01-28-17:03:46,15200,1349,127
2022-01-28-18:03:19,13400,1340,124
2022-01-29-10:46:04,13198,1349,127
2022-01-29-11:44:55,13199,1345,125
2022-01-29-12:43:52,13199,1345,125
2022-01-29-13:42:39,13197,1345,125
2022-01-29-21:56:56,14995,1342,124
2022-01-29-22:55:42,14800,1342,124
2022-02-02-20:26:11,13970,1275,117
2022-02-06-15:02:20,12979,1295,140
2022-02-06-22:41:04,12555,947,138
2022-02-07-20:22:02,12891,1194,136
2022-02-07-20:34:18,12891,1190,136
2022-02-07-20:46:36,12891,1190,136
2022-02-07-20:58:56,12891,1190,136
2022-02-07-21:11:17,12891,1190,136
2022-02-10-20:24:33,11873,1147,124
2022-02-10-20:37:58,11872,1147,124
2022-02-11-20:42:04,11858,1136,124
2022-02-12-12:42:58,11699,1100,123
