date,prix100,prix10,prix1
2022-01-22-23:52:18,166975,16950,1995
2022-01-23-22:49:31,168956,16942,1883
2022-01-24-19:36:52,168199,16911,1876
2022-01-24-21:38:43,168197,16901,1874
2022-01-25-18:25:29,168188,16794,1864
2022-01-26-15:22:39,166998,15995,1669
2022-01-26-15:41:50,166998,15995,1669
2022-01-28-09:04:58,159799,11996,1643
2022-01-28-10:04:22,125996,12000,1645
2022-01-28-11:03:47,125995,12000,1646
2022-01-28-12:02:48,125995,12000,1646
2022-01-28-13:01:54,125994,11999,1646
2022-01-28-14:01:01,125996,11999,1646
2022-01-28-15:00:10,125995,11995,1643
2022-01-28-15:59:22,125995,10996,1642
2022-01-28-16:58:55,125995,10999,1643
2022-01-28-17:58:23,125995,10999,1643
2022-01-29-10:41:37,159793,15945,1643
2022-01-29-11:40:23,159792,15945,1643
2022-01-29-12:39:17,159793,15945,1643
2022-01-29-13:38:09,159792,15942,1644
2022-01-29-21:52:11,159793,15936,1610
2022-01-29-22:51:15,159792,15936,1610
2022-02-02-20:25:08,158100,15767,1640
2022-02-06-15:01:19,158925,15497,1611
2022-02-06-22:39:56,158920,15752,1619
2022-02-07-20:20:58,158911,15741,1626
2022-02-07-20:33:17,158911,15741,1626
2022-02-07-20:45:35,158911,15740,1626
2022-02-07-20:57:56,158911,15740,1626
2022-02-07-21:10:16,158910,15739,1625
2022-02-10-08:55:42,154984,14992,1617
2022-02-10-20:23:29,154987,14996,1608
2022-02-10-20:36:54,154987,14996,1608
2022-02-11-20:41:02,154978,14760,1604
2022-02-12-12:41:56,154976,14729,1599
