date,prix100,prix10,prix1
2022-01-22-23:52:29,369999,33996,8499
2022-01-23-22:49:40,389886,34999,8817
2022-01-24-19:37:02,389883,34996,8816
2022-01-24-21:38:52,389883,34996,8814
2022-01-25-18:25:39,370000,34997,8829
2022-01-26-15:22:50,369999,34975,8799
2022-01-26-15:42:01,369999,34975,8799
2022-01-28-09:05:12,369996,34000,8791
2022-01-28-10:04:34,369996,34399,8793
2022-01-28-11:03:58,369996,34400,8795
2022-01-28-12:02:59,369996,34399,8795
2022-01-28-13:02:05,369996,34399,8795
2022-01-28-14:01:13,369997,34399,8795
2022-01-28-15:00:21,369997,34399,8794
2022-01-28-15:59:34,369997,34000,8400
2022-01-28-16:59:07,369997,29393,8400
2022-01-28-17:58:35,369997,29393,8400
2022-01-29-10:41:48,369997,33999,8794
2022-01-29-11:40:34,369997,33999,8794
2022-01-29-12:39:28,369997,33999,8466
2022-01-29-13:38:19,389882,33999,8466
2022-01-29-21:52:22,0,33999,8794
2022-01-29-22:51:26,0,33996,8794
2022-02-02-20:25:17,399998,39442,8791
2022-02-06-15:01:28,398972,36966,8788
2022-02-06-22:40:06,398972,36967,8788
2022-02-07-20:21:08,398970,36942,8783
2022-02-07-20:33:26,398970,36942,8783
2022-02-07-20:45:44,398970,36942,8783
2022-02-07-20:58:05,398970,36942,8783
2022-02-07-21:10:25,398970,36942,8783
2022-02-10-08:55:52,398972,27796,8773
2022-02-10-20:23:39,398971,36999,8766
2022-02-10-20:37:04,398971,36999,8766
2022-02-11-20:41:11,398969,36900,8699
2022-02-12-12:42:05,398969,36796,2994
