date,prix100,prix10,prix1
2022-01-22-23:52:34,1636997,163950,16391
2022-01-23-22:49:45,1614998,160000,16188
2022-01-24-19:37:06,1614995,163953,16194
2022-01-24-21:38:57,1614996,163422,16192
2022-01-25-18:25:43,1614996,163421,16194
2022-01-26-15:22:55,1614998,162997,16180
2022-01-26-15:42:07,1614998,162996,16180
2022-01-28-09:05:18,0,163956,16222
2022-01-28-10:04:40,0,163963,16194
2022-01-28-11:04:04,0,163962,16194
2022-01-28-12:03:05,0,163963,16194
2022-01-28-13:02:10,0,163963,16194
2022-01-28-14:01:19,0,163976,16194
2022-01-28-15:00:27,0,0,23000
2022-01-28-15:59:40,2250000,225000,22998
2022-01-28-16:59:13,2250000,225000,22998
2022-01-28-17:58:41,2250000,224999,22998
2022-01-29-10:41:54,2249999,210652,22994
2022-01-29-11:40:39,2248888,210651,22993
2022-01-29-12:39:33,2248888,210650,22992
2022-01-29-13:38:25,2248888,210650,22991
2022-01-29-21:52:27,2248886,209999,22969
2022-01-29-22:51:31,2248886,209996,22969
2022-02-02-20:25:22,2248876,204910,20076
2022-02-06-15:01:33,2000000,202933,22493
2022-02-06-22:40:10,2000000,202926,22194
2022-02-07-20:21:12,2000000,202911,22179
2022-02-07-20:33:31,2000000,202910,22179
2022-02-07-20:45:49,2000000,202910,22179
2022-02-07-20:58:09,2000000,202910,22179
2022-02-07-21:10:30,2000000,202910,22179
2022-02-10-08:55:57,2000000,199974,19475
2022-02-10-20:23:44,2000000,199963,19455
2022-02-10-20:37:09,2000000,199963,19455
2022-02-11-20:41:16,2000000,199000,17946
2022-02-12-12:42:10,2000000,196975,19498
