date,prix100,prix10,prix1
2022-02-02-20:18:52,5485,576,50
2022-02-06-14:55:01,5817,569,55
2022-02-06-22:33:11,5846,566,57
2022-02-07-20:14:46,5490,550,64
2022-02-07-20:27:04,5490,550,64
2022-02-07-20:39:21,5489,550,64
2022-02-07-20:51:40,5489,550,64
2022-02-07-21:03:59,5489,550,64
2022-02-07-21:16:21,5489,550,64
2022-02-10-08:49:08,5580,550,63
2022-02-10-20:16:34,5579,550,62
2022-02-10-20:30:03,5579,550,62
2022-02-10-20:43:31,5579,550,62
2022-02-11-20:34:35,5400,546,63
2022-02-12-12:35:33,4989,547,60
