date,prix100,prix10,prix1
2022-02-01-20:06:30,13990,1694,167
2022-02-01-20:37:11,13997,1696,166
2022-02-02-20:13:33,11091,1442,197
2022-02-02-20:28:31,12499,1442,197
2022-02-06-14:52:17,11496,1265,179
2022-02-06-15:24:15,11499,1299,194
2022-02-06-22:30:24,12500,1297,130
2022-02-07-20:12:02,11198,1297,105
2022-02-07-20:24:20,11197,1290,105
2022-02-07-20:36:37,11197,1299,105
2022-02-07-20:48:55,11197,1296,214
2022-02-07-21:01:15,11197,1299,214
2022-02-07-21:13:37,11195,1299,214
2022-02-10-08:46:16,10595,1390,138
2022-02-10-20:13:29,8498,1250,148
2022-02-10-20:27:00,8497,1367,148
2022-02-10-20:40:31,8497,1366,148
2022-02-11-20:31:46,767616,10297,1000
2022-02-12-12:32:45,9989,1000,90
