date,prix100,prix10,prix1
2022-01-22-23:54:39,249479,23935,2470
2022-01-24-09:16:01,249888,23900,2647
2022-01-24-19:38:47,210000,23915,2057
2022-01-24-21:40:40,249880,23904,2654
2022-01-25-18:27:22,249874,22997,2650
2022-01-26-15:24:56,248995,22999,2419
2022-01-26-15:44:07,248995,22999,2419
2022-01-28-09:07:23,234000,23396,2651
2022-01-28-10:06:53,234000,23396,2650
2022-01-28-11:06:06,234000,23396,2651
2022-01-28-12:05:08,234000,23200,2651
2022-01-28-13:04:14,234000,23396,2650
2022-01-28-14:03:21,234000,23440,2654
2022-01-28-15:02:33,233999,23429,2655
2022-01-28-16:01:48,233996,23427,2599
2022-01-28-17:01:21,231000,23425,2599
2022-01-28-18:00:53,233996,23000,2599
2022-01-29-10:43:51,229000,23427,2651
2022-01-29-11:42:40,229000,23429,2649
2022-01-29-12:41:35,228999,23599,2664
2022-01-29-13:40:24,229000,23596,2664
2022-01-29-21:54:36,229988,23926,2665
2022-01-29-22:53:29,229987,23926,2670
2022-02-02-20:23:36,233979,25799,2749
2022-02-06-14:59:47,239991,22796,2440
2022-02-06-22:38:22,239990,22995,2295
2022-02-07-20:19:27,235000,20996,2709
2022-02-07-20:31:46,235000,20999,2598
2022-02-07-20:44:03,235000,20999,2229
2022-02-07-20:56:24,234500,20997,2229
2022-02-07-21:08:40,234500,20999,2210
2022-02-10-08:54:05,239987,23494,2465
2022-02-10-20:21:46,239989,23433,2617
2022-02-10-20:35:12,239989,23434,2617
2022-02-11-20:39:26,234150,23399,2195
2022-02-12-12:40:22,234145,22996,2480
