date,prix100,prix10,prix1
2022-01-22-23:53:32,770000,76500,7996
2022-01-24-09:15:04,769998,76999,8079
2022-01-24-19:37:49,750000,76999,8073
2022-01-24-21:39:41,750000,76996,7997
2022-01-25-18:26:26,749999,74994,7996
2022-01-26-15:23:48,749858,74995,8070
2022-01-26-15:42:58,749858,74995,8070
2022-01-28-09:06:14,744999,76900,7992
2022-01-28-10:05:38,744999,76900,7992
2022-01-28-11:04:56,744999,76900,7990
2022-01-28-12:03:58,744999,76900,7992
2022-01-28-13:03:05,744999,76900,7992
2022-01-28-14:02:13,744999,76900,8079
2022-01-28-15:01:22,744999,76900,8079
2022-01-28-16:00:35,744999,76900,8079
2022-01-28-17:00:07,744999,76900,8078
2022-01-28-17:59:39,744999,76900,8812
2022-01-29-10:42:44,744000,76000,8199
2022-01-29-11:41:32,744000,76000,8198
2022-01-29-12:40:27,744000,76900,8196
2022-01-29-13:39:17,744000,76799,8197
2022-01-29-21:53:19,770000,76394,8797
2022-01-29-22:52:23,770000,76395,8794
2022-02-02-20:23:04,770000,79992,8198
2022-02-06-14:59:15,798993,72490,8194
2022-02-06-22:37:50,798993,72496,8141
2022-02-07-20:18:55,798993,64996,8114
2022-02-07-20:31:14,798993,64999,8113
2022-02-07-20:43:31,798993,64990,8111
2022-02-07-20:55:52,798993,64990,8110
2022-02-07-21:08:08,798993,64990,8109
2022-02-10-08:53:31,798000,76991,7998
2022-02-10-20:21:12,0,77995,7998
2022-02-10-20:34:38,798000,77995,7998
2022-02-11-20:38:53,798000,77996,8018
2022-02-12-12:39:49,797999,77996,8090
