date,prix100,prix10,prix1
2022-02-02-20:19:18,13498,1369,289
2022-02-06-14:55:28,15993,2799,139
2022-02-06-22:33:38,15992,2794,435
2022-02-07-20:15:11,12996,2765,426
2022-02-07-20:27:29,12996,1900,200
2022-02-07-20:39:47,12996,1900,200
2022-02-07-20:52:06,12996,1900,200
2022-02-07-21:04:24,12996,1900,427
2022-02-07-21:16:46,0,0,0
2022-02-10-08:49:36,14992,1975,200
2022-02-10-20:17:01,14496,1975,421
2022-02-10-20:30:30,15899,1975,421
2022-02-10-20:43:59,15898,1975,421
2022-02-11-20:35:02,11200,1196,118
2022-02-12-12:35:58,10110,1196,420
