date,prix100,prix10,prix1
2022-02-01-20:39:06,1598,122,10
2022-02-02-20:15:25,1688,165,22
2022-02-06-14:54:08,1500,165,9
2022-02-06-22:32:17,1190,169,14
2022-02-07-20:13:53,1169,116,16
2022-02-07-20:26:11,1169,116,15
2022-02-07-20:38:28,1096,116,15
2022-02-07-20:50:47,1100,115,14
2022-02-07-21:03:06,1096,115,14
2022-02-07-21:15:28,1097,115,14
2022-02-10-08:48:14,1949,150,10
2022-02-10-20:15:37,1488,154,10
2022-02-10-20:29:05,1486,154,10
2022-02-10-20:42:33,1896,177,42
2022-02-11-20:33:40,1493,210,20
2022-02-12-12:34:38,799,179,17
