date,prix100,prix10,prix1
2022-01-22-23:55:12,1200000,109999,10797
2022-01-24-09:16:29,1200000,109554,9670
2022-01-24-19:39:15,1200000,96000,9678
2022-01-24-21:41:08,1200000,95997,9000
2022-01-25-18:27:49,1200000,91996,8988
2022-01-26-15:25:29,1199999,106000,10813
2022-01-26-15:44:39,1199999,106000,10813
2022-01-28-09:07:56,1000000,97477,9126
2022-01-28-10:07:28,1000000,97476,9121
2022-01-28-11:06:39,1000000,97476,9119
2022-01-28-12:05:42,1000000,97466,9118
2022-01-28-13:04:48,1000000,97465,9297
2022-01-28-14:03:55,1000000,97400,9274
2022-01-28-15:03:07,1000000,97400,9277
2022-01-28-16:02:30,1000000,97400,9188
2022-01-28-17:01:57,1000000,97399,9181
2022-01-28-18:01:30,1000000,97464,9172
2022-01-29-10:44:23,1000000,95000,9169
2022-01-29-11:43:12,1000000,94996,9168
2022-01-29-12:42:08,1000000,94996,8997
2022-01-29-13:40:56,1000000,69996,8989
2022-01-29-21:55:12,1000000,94993,9563
2022-01-29-22:54:02,1000000,93997,9558
2022-02-02-20:23:59,1200000,94996,8993
2022-02-06-15:00:10,1000000,99996,9599
2022-02-06-22:38:45,1000000,99996,9243
2022-02-07-20:19:50,1199999,106652,10696
2022-02-07-20:32:08,1199999,106652,10696
2022-02-07-20:44:26,1199999,106656,10696
2022-02-07-20:56:47,1199999,106659,10699
2022-02-07-21:09:04,1199999,106659,10698
2022-02-10-08:54:29,1199999,106996,10046
2022-02-10-20:22:11,1199999,106990,10029
2022-02-10-20:35:39,1199999,106990,10029
2022-02-11-20:39:50,1199999,106993,10012
2022-02-12-12:40:45,1199999,107499,9900
