date,prix100,prix10,prix1
2022-01-06-10:50:59,169,6,2
2022-01-06-13:30:01,1693,4,94
2022-01-06-14:04:09,1648,5,94
2022-01-06-14:08:36,1648,5,94
2022-01-06-14:14:06,1648,5,94
2022-01-07-19:51:23,1500,64,246
2022-01-07-19:59:46,1488,65,246
2022-01-07-20:08:01,1485,65,246
2022-01-07-20:16:10,1480,65,246
2022-01-07-20:24:17,1479,65,246
2022-01-07-20:32:28,1473,65,246
2022-01-12-09:44:11,4184,396,4
2022-01-12-10:09:58,0,6616,6616
2022-01-12-10:43:13,299,396,4
2022-01-12-11:16:29,2994,400,4
2022-01-12-11:49:50,2988,399,49
2022-01-21-23:38:20,2693,50,6
2022-01-22-01:01:01,2600,361,63
2022-01-22-13:33:58,1299,119,63
2022-01-22-14:00:07,1169,120,63
2022-01-22-14:13:13,695,120,63
2022-01-22-14:26:18,695,120,63
2022-01-22-14:39:23,1100,120,62
2022-01-22-14:52:27,694,120,62
2022-01-22-15:05:34,1100,120,62
2022-01-22-15:18:48,1100,200,62
2022-01-22-15:31:53,1299,200,62
2022-01-22-15:46:46,1149,200,62
2022-01-22-15:59:52,1190,200,62
2022-01-22-16:13:01,1180,197,62
2022-01-22-16:26:07,1180,196,19
2022-01-22-16:39:16,1177,194,62
2022-01-22-16:52:24,1174,194,62
2022-01-22-17:05:30,1174,193,62
2022-01-22-17:18:38,1174,194,62
2022-01-22-17:31:44,1173,193,62
2022-01-22-17:44:52,1169,193,62
2022-01-22-17:58:01,1174,193,62
2022-01-22-18:11:11,1178,193,62
2022-01-22-18:24:22,1198,193,61
2022-01-22-18:37:36,1194,191,19
2022-01-22-18:50:44,1194,193,18
2022-01-22-19:03:54,1289,169,18
2022-01-22-19:17:08,1288,192,19
2022-01-22-19:31:16,1289,192,19
2022-01-22-19:44:27,1289,194,19
2022-01-22-19:57:38,1280,194,19
2022-01-22-23:45:50,1785,220,34
2022-01-22-23:50:09,1785,220,34
2022-01-23-22:47:36,2000,299,64
2022-01-24-19:34:57,298,396,74
2022-01-24-21:36:44,299,296,68
2022-01-25-18:23:37,1943,366,71
2022-01-26-15:20:22,994,365,35
2022-01-26-15:39:24,1896,365,35
2022-01-28-09:02:32,998,230,33
2022-01-28-10:01:57,979,230,34
2022-01-28-11:01:20,885,234,34
2022-01-28-12:00:26,881,230,33
2022-01-28-12:59:31,870,234,33
2022-01-28-13:58:36,978,229,33
2022-01-28-14:57:48,1168,226,32
2022-01-28-15:56:58,1296,227,32
2022-01-28-16:56:25,1294,225,31
2022-01-28-17:55:53,1192,224,31
2022-01-29-10:39:23,1475,222,34
2022-01-29-11:38:04,1542,224,45
2022-01-29-12:36:56,1522,222,44
2022-01-29-13:35:50,1545,222,44
2022-01-29-21:49:49,1797,220,35
2022-01-29-22:48:57,1785,220,34
2022-02-01-19:38:03,1785,220,34
2022-02-01-20:06:05,3794,155,356
2022-02-01-20:36:46,3796,156,355
2022-02-02-20:13:09,2297,131,74
2022-02-02-20:28:06,2375,130,73
2022-02-06-14:51:52,1159,169,29
2022-02-06-15:23:50,999,169,29
2022-02-06-22:29:59,1090,140,15
2022-02-07-20:11:37,1692,102,66
2022-02-07-20:23:57,1693,102,66
2022-02-07-20:36:12,1679,102,66
2022-02-07-20:48:31,1600,102,66
2022-02-07-21:00:51,1676,102,66
2022-02-07-21:13:12,1600,104,69
2022-02-10-08:45:52,994,284,50
2022-02-10-20:13:02,1093,278,66
2022-02-10-20:26:34,1167,278,66
2022-02-10-20:40:04,1093,282,66
2022-02-11-20:31:21,1300,199,45
2022-02-12-12:32:21,1262,189,44
