date,prix100,prix10,prix1
2022-01-06-10:52:23,4998,4939,49
2022-01-06-13:31:29,49980,493,492
2022-01-06-14:11:05,49980,4500,492
2022-01-06-14:15:09,49980,4500,492
2022-01-07-19:52:31,49974,4299,484
2022-01-07-20:00:47,49974,4299,484
2022-01-07-20:09:00,49974,4299,484
2022-01-07-20:17:09,49974,4300,484
2022-01-07-20:25:17,49974,4300,484
2022-01-07-20:33:32,49974,4300,484
2022-01-12-09:45:10,33112,3490,189
2022-01-12-10:11:00,33112,3499,188
2022-01-12-10:44:16,33112,349,188
2022-01-12-11:17:30,33112,349,18
2022-01-12-11:50:52,33112,349,186
2022-01-21-23:39:28,49993,379,158
2022-01-22-01:02:03,49992,3799,139
2022-01-22-14:01:05,32999,3596,153
2022-01-22-14:14:10,32999,3596,153
2022-01-22-14:27:16,32999,3594,151
2022-01-22-14:40:21,32999,3594,151
2022-01-22-14:53:25,32999,3594,151
2022-01-22-15:06:35,32999,3594,151
2022-01-22-15:19:45,32999,3594,151
2022-01-22-15:32:53,32999,3594,149
2022-01-22-15:47:45,32999,3594,149
2022-01-22-16:00:50,32999,3594,149
2022-01-22-16:13:59,32999,3594,147
2022-01-22-16:27:06,32999,3594,147
2022-01-22-16:40:14,32999,3594,147
2022-01-22-16:53:22,32999,3594,147
2022-01-22-17:06:30,32999,3594,147
2022-01-22-17:19:37,32999,3593,144
2022-01-22-17:32:43,37887,3592,143
2022-01-22-17:45:51,37777,3592,143
2022-01-22-17:59:01,37777,3592,143
2022-01-22-18:12:12,37777,3590,143
2022-01-22-18:25:22,37777,3590,143
2022-01-22-18:38:36,37777,3596,143
2022-01-22-18:51:43,37777,3596,143
2022-01-22-19:04:55,37777,3596,143
2022-01-22-19:18:08,37777,3596,142
2022-01-22-19:32:16,37777,3596,142
2022-01-22-19:45:28,37777,3596,142
2022-01-22-19:58:38,37777,3596,141
2022-01-22-23:51:06,49997,8799,337
