date,prix100,prix10,prix1
2022-01-06-10:51:06,291,220,22
2022-01-06-13:30:09,2916,226,20
2022-01-06-14:04:14,2916,229,20
2022-01-06-14:08:42,2916,229,20
2022-01-06-14:14:12,2916,229,20
2022-01-07-19:51:29,2914,96,6
2022-01-07-19:59:51,2914,96,6
2022-01-07-20:08:06,2914,96,6
2022-01-07-20:16:15,2914,96,6
2022-01-07-20:24:22,2914,96,6
2022-01-07-20:32:34,2914,96,6
2022-01-12-09:44:16,1840,6,0
2022-01-12-10:10:04,1840,0,0
2022-01-12-10:43:19,1840,9,0
2022-01-12-11:16:35,1840,9,0
2022-01-12-11:49:56,1819,4,0
2022-01-21-23:38:27,8198,22,0
2022-01-22-01:01:06,8198,215,19
2022-01-22-13:34:04,8298,253,20
2022-01-22-14:00:12,8298,253,20
2022-01-22-14:13:18,8298,253,20
2022-01-22-14:26:23,8297,252,20
2022-01-22-14:39:28,8296,252,20
2022-01-22-14:52:32,8296,253,20
2022-01-22-15:05:39,8296,252,20
2022-01-22-15:18:53,8296,251,19
2022-01-22-15:31:59,8296,222,18
2022-01-22-15:46:51,8296,222,17
2022-01-22-15:59:57,8295,246,16
2022-01-22-16:13:06,8200,246,15
2022-01-22-16:26:12,8200,247,15
2022-01-22-16:39:21,8200,245,16
2022-01-22-16:52:29,8200,245,16
2022-01-22-17:05:36,8200,245,16
2022-01-22-17:18:43,8199,244,17
2022-01-22-17:31:49,1173,193,62
2022-01-22-17:44:57,8199,243,17
2022-01-22-17:58:06,8199,243,17
2022-01-22-18:11:17,8199,243,17
2022-01-22-18:24:28,8199,243,18
2022-01-22-18:37:41,8199,199,19
2022-01-22-18:50:49,8199,199,19
2022-01-22-19:04:00,8199,199,19
2022-01-22-19:17:14,8199,196,19
2022-01-22-19:31:21,8199,197,10
2022-01-22-19:44:33,8199,196,9
2022-01-22-19:57:43,8199,196,9
2022-01-22-23:45:55,6100,610,96
2022-01-22-23:50:15,6100,610,96
2022-01-23-22:47:42,2994,239,20
2022-01-24-19:35:03,2399,217,29
2022-01-24-21:36:51,2396,150,26
2022-01-25-18:23:42,2979,196,20
2022-01-26-15:20:28,8221,310,30
2022-01-26-15:39:31,8221,310,30
2022-01-28-09:02:38,8489,204,10
2022-01-28-10:02:03,8488,204,12
2022-01-28-11:01:26,8400,204,19
2022-01-28-12:00:33,8199,206,30
2022-01-28-12:59:37,8198,205,30
2022-01-28-13:58:43,8197,206,30
2022-01-28-14:57:54,8197,205,33
2022-01-28-15:57:04,8197,200,29
2022-01-28-16:56:31,8197,200,28
2022-01-28-17:56:00,8189,196,27
2022-01-29-10:39:29,8097,329,20
2022-01-29-11:38:11,8097,332,22
2022-01-29-12:37:02,8099,333,26
2022-01-29-13:35:57,8099,332,22
2022-01-29-21:49:55,8092,320,21
2022-01-29-22:49:03,8092,315,23
2022-02-02-20:20:57,3297,180,44
2022-02-06-14:57:08,3796,110,30
2022-02-06-22:35:20,3094,100,10
2022-02-07-20:16:50,9329,844,69
2022-02-07-20:29:09,9329,851,69
2022-02-07-20:41:26,9329,851,69
2022-02-07-20:53:45,9329,849,50
2022-02-07-21:06:03,9329,848,49
2022-02-10-08:51:20,16751,2199,229
2022-02-10-20:18:51,15994,1686,153
2022-02-10-20:32:19,15994,1686,151
2022-02-10-20:45:50,15994,1684,151
2022-02-11-20:36:44,11493,977,90
2022-02-12-12:37:40,11495,699,76
