date,prix100,prix10,prix1
2022-01-06-10:54:21,5389,6096,480
2022-01-06-13:32:40,53890,5996,453
2022-01-06-14:12:05,53890,5996,449
2022-01-06-14:16:00,53890,5996,449
2022-01-07-19:53:23,5900,520,542
2022-01-07-20:01:40,5900,520,542
2022-01-07-20:09:48,5900,520,542
2022-01-07-20:17:57,2948,1393,9
2022-01-07-20:26:06,5900,520,54
2022-01-07-20:34:22,5900,500,539
2022-01-12-09:45:57,69000,5999,505
2022-01-12-10:11:49,69000,5999,499
2022-01-12-10:45:07,68990,6970,489
2022-01-12-11:18:19,68990,6970,48
2022-01-12-11:51:42,68989,6972,485
2022-01-21-23:40:21,66959,5506,529
2022-01-22-01:02:51,66970,6349,450
2022-01-22-14:01:54,66960,6343,529
2022-01-22-14:14:58,66960,6343,528
2022-01-22-14:28:03,66960,6343,500
2022-01-22-14:41:08,66960,6343,500
2022-01-22-14:54:11,66960,6349,525
2022-01-22-15:07:27,66960,6506,620
2022-01-22-15:20:34,66959,6506,620
2022-01-22-15:33:41,66959,6500,619
2022-01-22-15:48:33,66959,6500,619
2022-01-22-16:01:40,66959,6210,608
2022-01-22-16:14:48,66959,6210,598
2022-01-22-16:27:55,66959,6210,608
2022-01-22-16:41:04,66958,6210,605
2022-01-22-16:54:10,66958,6209,604
2022-01-22-17:07:19,66958,6206,603
2022-01-22-17:20:25,66958,6206,603
2022-01-22-17:33:31,66958,6206,602
2022-01-22-17:46:40,66958,6206,600
2022-01-22-17:59:50,66958,6206,600
2022-01-22-18:13:02,66958,6150,596
2022-01-22-18:26:14,66958,6150,595
2022-01-22-18:39:25,66959,6150,595
2022-01-22-18:52:32,66959,6149,593
2022-01-22-19:05:46,66959,6149,590
2022-01-22-19:18:59,66959,6000,590
2022-01-22-19:33:06,66959,6000,591
2022-01-22-19:46:17,66959,6206,549
2022-01-22-19:59:28,66959,6205,546
2022-01-22-23:51:55,66900,6159,520
2022-01-23-22:49:12,66900,5100,445
2022-01-24-19:36:34,66900,6695,579
2022-01-24-21:38:24,66900,6691,493
2022-01-25-18:25:11,66879,6196,511
2022-01-26-15:22:17,58900,5999,498
2022-01-26-15:41:28,58900,5999,198
2022-01-28-09:04:33,55000,5500,498
2022-01-28-10:03:59,55000,5510,487
2022-01-28-11:03:24,55000,5510,487
2022-01-28-12:02:25,54990,5000,479
2022-01-28-13:01:31,54990,5742,483
2022-01-28-14:00:39,54990,5741,483
2022-01-28-14:59:47,54990,5699,469
2022-01-28-15:58:59,54990,5696,199
2022-01-28-16:58:32,54990,5690,197
2022-01-28-17:58:00,54990,5677,467
2022-01-29-10:41:16,58889,5616,459
2022-01-29-11:40:01,58889,5000,418
2022-01-29-12:38:54,58887,5620,412
2022-01-29-13:37:47,58880,5619,194
2022-01-29-21:51:48,54999,4993,178
2022-01-29-22:50:53,54999,4993,197
2022-02-02-20:22:22,58887,5600,468
2022-02-06-14:58:32,66890,6174,483
2022-02-06-22:36:46,67997,5996,595
2022-02-07-20:18:13,67907,6707,588
2022-02-07-20:30:32,67907,6707,587
2022-02-07-20:42:50,67907,6707,584
2022-02-07-20:55:10,67907,6707,581
2022-02-07-21:07:26,67907,7179,581
2022-02-10-08:52:48,66998,6942,450
2022-02-10-20:20:26,66998,6442,458
2022-02-10-20:33:53,66998,6442,458
2022-02-11-20:38:10,66998,5996,489
2022-02-12-12:39:06,67000,6943,644
