date,prix100,prix10,prix1
2022-01-06-10:50:52,192,99,520
2022-01-06-13:29:52,199,0,499
2022-01-06-14:03:59,199,99,499
2022-01-06-14:08:31,175,99,499
2022-01-06-14:14:01,175,96,499
2022-01-07-19:51:16,105,96,42
2022-01-07-19:59:41,1222,95,42
2022-01-07-20:07:56,122,94,42
2022-01-07-20:16:05,122,92,42
2022-01-07-20:24:12,122,92,42
2022-01-07-20:32:22,1222,92,42
2022-01-12-09:44:05,142,9,43
2022-01-12-10:09:52,142,0,43
2022-01-12-10:43:08,142,99,43
2022-01-12-11:16:24,119,99,43
2022-01-12-11:49:45,140,99,43
2022-01-21-23:38:14,99,50,24
2022-01-22-01:00:56,998,100,27
2022-01-22-13:33:53,997,47,20
2022-01-22-14:00:02,997,45,20
2022-01-22-14:13:07,997,45,20
2022-01-22-14:26:13,996,45,20
2022-01-22-14:39:17,998,45,20
2022-01-22-14:52:22,998,44,20
2022-01-22-15:05:28,998,43,20
2022-01-22-15:18:43,998,40,20
2022-01-22-15:31:48,998,94,20
2022-01-22-15:46:41,999,96,20
2022-01-22-15:59:46,999,96,20
2022-01-22-16:12:55,999,96,20
2022-01-22-16:26:01,999,96,20
2022-01-22-16:39:10,1000,96,20
2022-01-22-16:52:19,1000,95,20
2022-01-22-17:05:25,1000,103,20
2022-01-22-17:18:33,1000,103,20
2022-01-22-17:31:39,1000,103,20
2022-01-22-17:44:47,999,103,20
2022-01-22-17:57:56,999,103,20
2022-01-22-18:11:06,1277,103,20
2022-01-22-18:24:17,1285,103,18
2022-01-22-18:37:31,1285,103,18
2022-01-22-18:50:39,1284,121,18
2022-01-22-19:03:49,1283,120,18
2022-01-22-19:17:03,1283,121,28
2022-01-22-19:31:10,1280,120,28
2022-01-22-19:44:22,1283,121,27
2022-01-22-19:57:33,1283,121,27
2022-01-22-23:45:44,72969,7274,676
2022-01-22-23:50:04,1465,122,27
