date,prix100,prix10,prix1
2022-01-06-10:49:41,4998,500,45
2022-01-06-13:28:35,589,559,50
2022-01-06-13:36:51,5894,55,50
2022-01-06-13:39:29,5894,500,50
2022-01-06-13:42:28,0,0,0
2022-01-06-13:44:05,5894,500,50
2022-01-06-13:44:46,5894,500,50
2022-01-06-14:02:56,5893,469,50
2022-01-06-14:05:27,5892,469,50
2022-01-06-14:13:05,5499,45,49
2022-01-07-19:50:08,59,399,60
2022-01-07-19:58:46,594,39,60
2022-01-07-20:07:03,5440,390,60
2022-01-07-20:15:10,4999,490,60
2022-01-07-20:23:18,4998,466,62
2022-01-07-20:31:27,4989,466,59
2022-01-12-09:43:10,5400,54,60
2022-01-12-10:08:54,5198,543,60
2022-01-12-10:42:12,519,560,69
2022-01-12-11:15:30,5199,559,69
2022-01-12-11:48:44,5188,556,69
2022-01-21-23:37:17,4999,460,48
2022-01-22-01:00:02,5497,665,72
2022-01-22-13:32:57,5421,529,58
2022-01-22-13:59:09,5498,526,58
2022-01-22-14:12:15,6500,536,58
2022-01-22-14:25:19,6500,500,58
2022-01-22-14:38:25,6498,500,58
2022-01-22-14:51:29,6500,569,58
2022-01-22-15:04:32,6449,566,56
2022-01-22-15:17:50,6500,566,58
2022-01-22-15:30:55,6495,566,58
2022-01-22-15:45:48,6493,566,60
2022-01-22-15:58:54,5998,576,50
2022-01-22-16:12:02,6494,570,49
2022-01-22-16:25:10,4999,500,49
2022-01-22-16:38:16,5999,546,45
2022-01-22-16:51:25,4899,439,44
2022-01-22-17:04:31,4899,540,44
2022-01-22-17:17:40,5996,547,45
2022-01-22-17:30:47,5800,540,46
2022-01-22-17:43:52,5996,526,46
2022-01-22-17:57:02,5995,527,60
2022-01-22-18:10:12,5993,525,61
2022-01-22-18:23:23,5994,524,59
2022-01-22-18:36:36,5991,495,55
2022-01-22-18:49:47,5992,496,54
2022-01-22-19:02:55,5000,519,52
2022-01-22-19:16:08,5994,512,51
2022-01-22-19:29:22,5799,509,50
2022-01-22-19:43:27,5797,497,50
2022-01-22-19:56:38,5795,515,50
2022-01-22-23:40:46,5796,509,47
2022-01-22-23:42:24,5796,524,47
2022-01-22-23:44:57,46995,5197,790
2022-01-22-23:49:07,5795,525,50
2022-01-23-18:49:24,5769,496,50
2022-01-23-18:51:10,5769,494,49
2022-01-23-18:52:43,5770,494,49
2022-01-23-18:57:02,5773,494,50
2022-01-23-18:59:14,5773,494,50
2022-01-23-19:00:40,5773,470,56
2022-01-23-19:01:55,5773,470,56
2022-01-23-19:04:57,5775,469,55
2022-01-23-19:13:25,5776,522,55
2022-01-23-19:14:24,5776,522,55
2022-01-23-19:16:08,5776,519,55
2022-01-23-19:18:50,5777,519,55
2022-01-23-19:19:57,5776,519,57
2022-01-23-19:22:08,5699,516,57
2022-01-23-19:27:28,5699,520,57
2022-01-23-19:28:03,5699,520,57
2022-01-23-19:34:45,5699,529,51
2022-01-23-21:12:11,5692,517,50
2022-01-23-21:15:46,5693,517,52
2022-01-23-21:18:18,5693,520,51
2022-01-23-21:20:24,5693,520,51
2022-01-23-21:22:39,5693,519,51
2022-01-23-22:27:21,5607,43,42
2022-01-23-22:29:04,5607,44,42
2022-01-23-22:30:09,5607,44,42
2022-01-23-22:31:59,5607,450,41
2022-01-23-22:38:40,5606,454,41
2022-01-23-22:39:29,5606,454,41
2022-01-23-22:40:26,5606,453,41
2022-01-23-22:41:45,5606,454,41
2022-01-23-22:42:48,5606,453,42
2022-01-23-22:44:22,5606,452,42
2022-01-23-22:45:21,5606,451,42
2022-01-23-22:46:38,5606,451,42
2022-01-24-19:33:59,4994,472,50
2022-01-24-21:35:46,4985,472,51
2022-01-25-18:22:44,4099,365,15
2022-01-26-15:19:16,4292,394,54
2022-01-26-15:38:11,4293,429,54
2022-01-28-09:01:22,4109,409,39
2022-01-28-10:00:40,4106,410,39
2022-01-28-11:00:11,4106,399,43
2022-01-28-11:59:17,4278,404,41
2022-01-28-12:58:22,4273,396,40
2022-01-28-13:57:28,8996,379,42
2022-01-28-14:56:39,4200,370,30
2022-01-28-15:55:48,4272,367,15
2022-01-28-16:55:13,4259,354,40
2022-01-28-17:54:40,4200,360,39
2022-01-29-10:38:17,4184,400,39
2022-01-29-11:36:57,4189,344,37
2022-01-29-12:35:48,8998,322,32
2022-01-29-13:34:44,4198,396,33
2022-01-29-21:48:33,4270,400,39
2022-01-29-22:47:51,4276,420,50
2022-02-02-20:20:33,8991,296,31
2022-02-06-14:56:43,8899,316,34
2022-02-06-22:34:54,8885,367,40
2022-02-07-20:16:25,8657,340,45
2022-02-07-20:28:44,8120,300,44
2022-02-07-20:41:01,8119,300,40
2022-02-07-20:53:21,8115,295,35
2022-02-07-21:05:38,8112,306,35
2022-02-10-08:50:55,4067,366,45
2022-02-10-20:18:24,2999,360,36
2022-02-10-20:31:50,2999,349,36
2022-02-10-20:45:21,4062,344,37
2022-02-11-20:36:19,8994,400,50
2022-02-12-12:37:14,4049,393,50
