date,prix100,prix10,prix1
2022-01-06-10:52:51,48790,4490,536
2022-01-06-13:32:00,4478,4956,529
2022-01-06-14:11:28,48892,6799,2000
2022-01-06-14:15:33,48892,6796,1998
2022-01-07-19:52:54,8896,999,100
2022-01-07-20:01:10,8896,9990,999
2022-01-07-20:09:22,8896,999,989
2022-01-07-20:17:30,8895,9994,990
2022-01-07-20:25:38,8799,9000,98
2022-01-07-20:33:54,8798,8999,983
2022-01-12-09:45:31,49700,529,555
2022-01-12-10:11:22,49680,5296,55
2022-01-12-10:44:38,49679,529,543
2022-01-12-11:17:51,49600,5296,549
2022-01-12-11:51:15,49600,5296,54
2022-01-21-23:39:51,3379,400,15
2022-01-22-01:02:25,33797,4099,193
2022-01-22-14:01:27,33797,4306,446
2022-01-22-14:14:31,33793,4314,448
2022-01-22-14:27:37,33792,4314,449
2022-01-22-14:40:42,33790,4314,448
2022-01-22-14:53:45,33790,4313,400
2022-01-22-15:06:59,33790,4313,449
2022-01-22-15:20:07,33789,4299,417
2022-01-22-15:33:15,33789,4299,416
2022-01-22-15:48:06,33789,4299,416
2022-01-22-16:01:12,33789,4299,199
2022-01-22-16:14:20,33789,4299,197
2022-01-22-16:27:28,33789,4299,195
2022-01-22-16:40:36,33785,4313,196
2022-01-22-16:53:43,33785,4313,196
2022-01-22-17:06:51,33785,4314,196
2022-01-22-17:19:58,33785,4312,196
2022-01-22-17:33:05,33785,4312,196
2022-01-22-17:46:13,33783,4299,194
2022-01-22-17:59:23,30000,4312,197
2022-01-22-18:12:34,30000,4314,196
2022-01-22-18:25:46,33783,4313,196
2022-01-22-18:38:58,33783,4312,199
2022-01-22-18:52:05,33789,4313,199
2022-01-22-19:05:18,33789,4312,199
2022-01-22-19:18:31,33789,4312,198
2022-01-22-19:32:37,33789,4312,189
2022-01-22-19:45:49,33789,4312,149
2022-01-22-19:59:00,33789,4311,148
2022-01-22-23:51:27,33794,4313,450
2022-01-23-22:48:49,29996,4079,484
2022-01-24-19:36:11,32953,4095,481
2022-01-24-21:37:59,32945,3770,429
2022-01-25-18:24:48,31000,3750,444
2022-01-26-15:21:49,29999,3996,465
2022-01-26-15:40:56,29999,3996,465
2022-01-28-09:04:03,30650,8898,397
2022-01-28-10:03:30,30649,8899,400
2022-01-28-11:02:56,30651,8898,303
2022-01-28-12:01:57,30652,8892,410
2022-01-28-13:01:03,30646,8890,411
2022-01-28-14:00:09,30641,8890,46
2022-01-28-14:59:18,30639,8890,47
2022-01-28-15:58:30,30639,8891,47
2022-01-28-16:58:01,30637,8890,49
2022-01-28-17:57:30,30634,8890,429
2022-01-29-10:40:49,30646,8882,347
2022-01-29-11:39:33,30650,8882,349
2022-01-29-12:38:26,30652,8880,340
2022-01-29-13:37:19,30650,8499,249
2022-01-29-21:51:21,30624,8870,347
2022-01-29-22:50:24,30620,8499,347
2022-02-02-20:21:59,29883,3775,149
2022-02-06-14:58:09,32597,3699,150
2022-02-06-22:36:22,32283,3991,428
2022-02-07-20:17:50,30998,4299,428
2022-02-07-20:30:09,30998,4399,428
2022-02-07-20:42:26,30998,4399,427
2022-02-07-20:54:46,30999,4399,426
2022-02-07-21:07:03,30999,4397,426
2022-02-10-08:52:24,32404,4200,447
2022-02-10-20:20:01,32402,3995,464
2022-02-10-20:33:27,32402,4000,461
2022-02-11-20:37:47,32863,4000,443
2022-02-12-12:38:43,32897,3495,198
