date,prix100,prix10,prix1
2022-01-06-10:51:43,5499,600,28
2022-01-06-13:30:48,5498,596,8
2022-01-06-14:09:47,5000,596,0
2022-01-06-14:14:40,5000,594,6
2022-01-07-19:52:00,9994,493,24
2022-01-07-20:00:18,9994,493,24
2022-01-07-20:08:34,9994,493,24
2022-01-07-20:16:42,9994,493,23
2022-01-07-20:24:50,9994,495,22
2022-01-07-20:33:02,9994,592,22
2022-01-12-09:44:44,9899,93,9
2022-01-12-10:10:32,9899,93,8
2022-01-12-10:43:47,9899,92,5
2022-01-12-11:17:02,9899,95,4
2022-01-12-11:50:24,9899,700,0
2022-01-21-23:38:58,999,990,90
2022-01-22-01:01:34,10999,990,89
2022-01-22-13:34:33,9999,900,84
2022-01-22-14:00:39,9999,997,84
2022-01-22-14:13:44,9999,997,80
2022-01-22-14:26:50,9999,997,80
2022-01-22-14:39:54,9999,996,80
2022-01-22-14:52:58,9999,996,80
2022-01-22-15:06:06,9999,996,80
2022-01-22-15:19:19,9999,996,80
2022-01-22-15:32:26,9999,996,79
2022-01-22-15:47:18,9999,995,79
2022-01-22-16:00:23,9999,995,75
2022-01-22-16:13:32,9999,995,70
2022-01-22-16:26:39,9999,994,69
2022-01-22-16:39:48,9999,994,70
2022-01-22-16:52:55,9999,994,69
2022-01-22-17:06:03,9999,994,68
2022-01-22-17:19:10,9999,992,68
2022-01-22-17:32:16,9999,992,65
2022-01-22-17:45:24,9999,991,64
2022-01-22-17:58:34,9999,600,65
2022-01-22-18:11:44,9998,991,66
2022-01-22-18:24:55,9998,993,66
2022-01-22-18:38:08,9998,992,66
2022-01-22-18:51:16,9998,993,65
2022-01-22-19:04:28,9998,799,65
2022-01-22-19:17:42,9995,769,50
2022-01-22-19:31:49,9995,457,47
2022-01-22-19:45:00,9994,456,48
2022-01-22-19:58:11,9994,456,48
2022-01-22-23:50:39,11000,1150,69
2022-01-23-22:48:06,12000,316,36
2022-01-24-19:35:28,11993,935,44
2022-01-24-21:37:16,11990,992,30
2022-01-25-18:24:05,19776,1250,88
2022-01-26-15:20:57,19785,1232,87
2022-01-26-15:40:04,19785,1100,87
2022-01-28-09:03:08,18999,390,29
2022-01-28-10:02:33,18999,366,29
2022-01-28-11:01:55,18999,367,100
2022-01-28-12:01:01,18999,366,98
2022-01-28-13:00:06,18999,369,87
2022-01-28-13:59:12,18999,367,80
2022-01-28-14:58:23,18999,360,75
2022-01-28-15:57:33,19000,367,70
2022-01-28-16:57:02,18750,366,69
2022-01-28-17:56:31,18750,346,49
2022-01-29-10:39:57,18999,999,66
2022-01-29-11:38:39,19918,997,54
2022-01-29-12:37:31,19918,1196,53
2022-01-29-13:36:25,19918,1195,51
2022-01-29-21:50:27,19914,390,46
2022-01-29-22:49:31,19914,369,40
2022-02-02-20:21:16,19898,996,60
2022-02-06-14:57:26,11994,1110,50
2022-02-06-22:35:38,11989,999,68
2022-02-07-20:17:08,8999,573,49
2022-02-07-20:29:27,8999,574,49
2022-02-07-20:41:44,8999,574,48
2022-02-07-20:54:04,8999,966,47
2022-02-07-21:06:21,8999,967,48
2022-02-10-08:51:40,10980,969,81
2022-02-10-20:19:13,10975,400,34
2022-02-10-20:32:40,10975,399,34
2022-02-10-20:46:11,10975,399,33
2022-02-11-20:37:03,10957,925,61
2022-02-12-12:37:59,8190,339,35
