date,prix100,prix10,prix1
2022-01-06-10:51:13,39998,3966,13
2022-01-06-13:30:17,39996,3964,159
2022-01-06-14:04:19,39995,3960,155
2022-01-06-14:08:49,39995,3960,155
2022-01-06-14:14:17,39995,3960,155
2022-01-07-19:51:35,3889,3924,126
2022-01-07-19:59:57,3889,3924,125
2022-01-07-20:08:12,3889,3924,125
2022-01-07-20:16:20,3889,3924,124
2022-01-07-20:24:27,3889,3924,124
2022-01-07-20:32:40,3889,3924,124
2022-01-12-09:44:21,9999,1594,38
2022-01-12-10:10:10,9999,1593,38
2022-01-12-10:43:25,9999,500,30
2022-01-12-11:16:40,9999,500,38
2022-01-12-11:50:02,9999,360,3
2022-01-21-23:38:33,89,1095,94
2022-01-22-01:01:12,18198,1095,90
2022-01-22-13:34:10,18187,1099,70
2022-01-22-14:00:18,18187,1099,70
2022-01-22-14:13:23,18187,1099,70
2022-01-22-14:26:28,18187,1099,70
2022-01-22-14:39:33,18187,1096,70
2022-01-22-14:52:37,18187,1099,69
2022-01-22-15:05:44,18187,1096,69
2022-01-22-15:18:58,18197,1096,69
2022-01-22-15:32:05,18197,1096,69
2022-01-22-15:46:57,18197,1096,69
2022-01-22-16:00:02,18197,1096,69
2022-01-22-16:13:11,18197,1095,69
2022-01-22-16:26:17,18197,1095,65
2022-01-22-16:39:26,18197,1095,65
2022-01-22-16:52:34,18197,1095,65
2022-01-22-17:05:42,18197,1095,65
2022-01-22-17:18:49,18197,1095,65
2022-01-22-17:31:54,18197,1095,65
2022-01-22-17:45:03,18197,1095,65
2022-01-22-17:58:12,18197,1095,65
2022-01-22-18:11:22,18197,1095,65
2022-01-22-18:24:33,18197,1095,65
2022-01-22-18:37:46,18197,1095,65
2022-01-22-18:50:55,18197,1094,69
2022-01-22-19:04:06,18197,1094,69
2022-01-22-19:17:19,18197,1094,69
2022-01-22-19:31:26,18198,1094,69
2022-01-22-19:44:38,18198,1094,69
2022-01-22-19:57:49,18198,1094,69
2022-01-22-23:46:00,16196,1099,66
2022-01-22-23:50:20,16196,1099,66
2022-01-23-22:47:46,18098,1113,55
2022-01-24-19:35:08,18096,1110,70
2022-01-24-21:36:56,18000,1105,130
2022-01-25-18:23:47,18197,1104,123
2022-01-26-15:20:33,38888,1699,146
2022-01-26-15:39:38,38888,1699,145
2022-01-28-09:02:44,27996,2391,187
2022-01-28-10:02:09,27996,2391,187
2022-01-28-11:01:32,25900,2390,218
2022-01-28-12:00:38,25900,2350,219
2022-01-28-12:59:43,25898,2346,215
2022-01-28-13:58:48,25898,2346,215
2022-01-28-14:58:00,25895,2346,214
2022-01-28-15:57:10,25895,2346,212
2022-01-28-16:56:37,25895,2349,211
2022-01-28-17:56:06,25894,2345,211
2022-01-29-10:39:35,25900,4749,245
2022-01-29-11:38:16,25900,4749,245
2022-01-29-12:37:08,25900,4749,200
2022-01-29-13:36:02,25899,4749,245
2022-01-29-21:50:01,25900,4694,291
2022-01-29-22:49:09,25900,4694,291
2022-02-02-20:21:02,27989,2657,240
2022-02-06-14:57:12,26990,1990,161
2022-02-06-22:35:24,26980,1994,135
2022-02-07-20:16:55,17999,1700,119
2022-02-07-20:29:14,17999,1699,118
2022-02-07-20:41:30,17999,1699,117
2022-02-07-20:53:50,17999,1696,117
2022-02-07-21:06:07,17999,1696,117
2022-02-10-08:51:25,23999,1691,85
2022-02-10-20:18:58,23998,1690,54
2022-02-10-20:32:25,23998,1690,54
2022-02-10-20:45:55,23998,1690,54
2022-02-11-20:36:49,16796,1593,90
2022-02-12-12:37:45,14999,1497,84
