date,prix100,prix10,prix1
2022-01-06-10:50:02,5769,54,36
2022-01-06-13:29:00,5768,56,42
2022-01-06-13:39:47,576,560,42
2022-01-06-14:03:22,576,52,4
2022-01-06-14:05:44,576,52,4
2022-01-06-14:13:21,5768,52,4
2022-01-07-19:50:29,575,555,8
2022-01-07-19:59:02,575,555,8
2022-01-07-20:07:19,5750,554,8
2022-01-07-20:15:26,5750,554,8
2022-01-07-20:23:34,5750,566,0
2022-01-07-20:31:44,5749,566,0
2022-01-12-09:43:27,4799,46,9
2022-01-12-10:09:12,4799,460,98
2022-01-12-10:42:29,4796,40,9
2022-01-12-11:15:46,4794,40,98
2022-01-12-11:49:02,4794,49,98
2022-01-21-23:37:34,8400,399,93
2022-01-22-01:00:18,8495,469,93
2022-01-22-13:33:14,8492,454,88
2022-01-22-13:59:25,8494,49,89
2022-01-22-14:12:31,8494,49,89
2022-01-22-14:25:35,8494,49,89
2022-01-22-14:38:41,8493,47,93
2022-01-22-14:51:45,8493,47,93
2022-01-22-15:04:49,8494,46,93
2022-01-22-15:18:06,8494,47,93
2022-01-22-15:31:11,8494,47,92
2022-01-22-15:46:04,8494,47,92
2022-01-22-15:59:09,8493,435,92
2022-01-22-16:12:17,8494,49,92
2022-01-22-16:25:26,8494,49,92
2022-01-22-16:38:32,8493,46,92
2022-01-22-16:51:41,8494,454,92
2022-01-22-17:04:47,8494,454,92
2022-01-22-17:17:56,8492,453,92
2022-01-22-17:31:02,8492,452,92
2022-01-22-17:44:09,8492,420,92
2022-01-22-17:57:18,8493,419,92
2022-01-22-18:10:28,8493,419,92
2022-01-22-18:23:40,8493,416,92
2022-01-22-18:36:52,8494,419,92
2022-01-22-18:50:03,8494,419,91
2022-01-22-19:03:11,8490,419,91
2022-01-22-19:16:25,8490,40,91
2022-01-22-19:29:37,8494,436,91
2022-01-22-19:43:43,8494,436,90
2022-01-22-19:56:55,8494,430,90
2022-01-22-23:40:57,5796,509,47
2022-01-22-23:43:03,0,0,0
2022-01-22-23:45:13,8500,400,90
2022-01-22-23:49:24,8500,399,90
2022-01-23-18:49:40,8899,393,97
2022-01-23-21:12:26,8898,355,93
2022-01-23-21:16:02,8899,355,93
2022-01-23-21:18:35,8899,355,93
2022-01-23-21:20:40,8899,355,93
2022-01-23-21:22:54,8899,355,93
2022-01-23-22:30:24,8896,353,89
2022-01-23-22:43:03,8896,354,89
2022-01-23-22:45:36,8896,353,89
2022-01-23-22:46:54,8896,352,89
2022-01-24-19:34:15,8883,452,99
2022-01-24-21:36:02,8850,450,98
2022-01-25-18:22:58,8880,42,93
2022-01-26-15:19:34,8880,290,98
2022-01-26-15:38:31,8800,267,98
2022-01-28-09:01:41,8699,373,105
2022-01-28-10:01:00,8700,374,105
2022-01-28-11:00:28,8875,373,105
2022-01-28-11:59:36,8874,366,104
2022-01-28-12:58:40,8799,367,104
2022-01-28-13:57:45,8798,366,104
2022-01-28-14:56:56,8797,377,102
2022-01-28-15:56:06,8795,377,100
2022-01-28-16:55:30,8796,375,102
2022-01-28-17:54:58,8799,376,102
2022-01-29-10:38:34,8792,300,89
2022-01-29-11:37:14,8790,350,80
2022-01-29-12:36:06,8789,339,80
2022-01-29-13:35:01,8790,347,80
2022-01-29-21:48:53,8789,371,101
2022-01-29-22:48:08,8787,372,101
2022-02-02-20:20:37,8874,347,89
2022-02-06-14:56:47,8700,47,85
2022-02-06-22:34:59,8855,434,109
2022-02-07-20:16:30,8847,466,121
2022-02-07-20:28:49,8847,400,121
2022-02-07-20:41:06,8847,355,121
2022-02-07-20:53:25,8847,355,121
2022-02-07-21:05:42,8847,354,121
2022-02-10-08:50:59,8878,419,95
2022-02-10-20:18:29,4445,416,94
2022-02-10-20:31:56,4448,416,94
2022-02-10-20:45:27,4447,416,96
2022-02-11-20:36:24,8195,427,129
2022-02-12-12:37:19,8191,400,119
