date,prix100,prix10,prix1
2022-01-06-10:50:30,39194,4294,434
2022-01-06-13:29:30,3929,4296,430
2022-01-06-14:03:43,39289,4296,426
2022-01-06-14:06:07,39289,4296,426
2022-01-06-14:13:44,39195,4296,430
2022-01-07-19:50:56,46990,4295,409
2022-01-07-19:59:24,46989,4290,4
2022-01-07-20:07:40,46990,4279,4
2022-01-07-20:15:48,4000,4443,4
2022-01-07-20:23:55,4000,444,4
2022-01-07-20:32:05,4000,4446,45
2022-01-12-09:43:48,69860,7799,63
2022-01-12-10:09:36,69860,7799,64
2022-01-12-10:42:51,69869,7799,6
2022-01-12-11:16:08,69869,7799,60
2022-01-12-11:49:26,69870,7799,69
2022-01-21-23:37:56,2990,7395,7
2022-01-22-01:00:39,72995,7394,694
2022-01-22-13:33:36,72972,7199,697
2022-01-22-13:59:46,72898,7296,696
2022-01-22-14:12:52,72896,7296,680
2022-01-22-14:25:57,72896,7260,695
2022-01-22-14:39:02,72896,7260,694
2022-01-22-14:52:06,72896,6930,690
2022-01-22-15:05:11,72895,6929,692
2022-01-22-15:18:27,72894,6929,692
2022-01-22-15:31:32,72891,6929,692
2022-01-22-15:46:25,72891,6929,690
2022-01-22-15:59:31,72891,6926,680
2022-01-22-16:12:39,72891,6929,691
2022-01-22-16:25:47,72890,6929,688
2022-01-22-16:38:54,72889,6929,688
2022-01-22-16:52:02,72889,7000,739
2022-01-22-17:05:09,72889,7260,739
2022-01-22-17:18:17,72889,7260,739
2022-01-22-17:31:24,72888,7260,737
2022-01-22-17:44:31,72885,7259,737
2022-01-22-17:57:40,72885,7259,739
2022-01-22-18:10:50,72884,7259,746
2022-01-22-18:24:01,72885,7296,746
2022-01-22-18:37:15,72883,7294,744
2022-01-22-18:50:23,72882,7293,744
2022-01-22-19:03:33,72880,7292,744
2022-01-22-19:16:46,72880,7291,744
2022-01-22-19:30:53,72880,7292,738
2022-01-22-19:44:05,72880,7292,737
2022-01-22-19:57:16,72878,7291,736
2022-01-22-23:41:16,72969,7274,676
2022-01-22-23:45:34,72969,7274,676
2022-01-22-23:49:46,72969,7274,676
2022-01-23-22:47:16,72822,7230,697
2022-01-24-19:34:37,69987,7204,702
2022-01-24-21:36:24,69987,7195,691
2022-01-25-18:23:18,69980,6999,687
2022-01-26-15:19:59,69877,6996,639
2022-01-26-15:38:58,69876,6996,630
2022-01-28-09:02:09,59739,7079,549
2022-01-28-10:01:32,59740,7076,606
2022-01-28-11:00:57,59740,7073,604
2022-01-28-12:00:03,59742,7074,610
2022-01-28-12:59:08,59738,6500,636
2022-01-28-13:58:13,59699,6495,596
2022-01-28-14:57:24,59695,7073,596
2022-01-28-15:56:34,59688,7072,639
2022-01-28-16:56:00,59690,7073,629
2022-01-28-17:55:28,59688,7000,627
2022-01-29-10:39:01,59582,6799,652
2022-01-29-11:37:41,59585,6997,652
2022-01-29-12:36:33,59584,6999,655
2022-01-29-13:35:28,59583,6997,663
2022-01-29-21:49:23,59487,6900,669
2022-01-29-22:48:35,59484,6796,660
2022-02-02-20:20:42,64981,6925,670
2022-02-06-14:56:53,69475,6992,689
2022-02-06-22:35:04,68994,6550,693
2022-02-07-20:16:35,68882,6993,704
2022-02-07-20:28:54,68881,6500,703
2022-02-07-20:41:11,68882,6500,701
2022-02-07-20:53:30,68882,6500,701
2022-02-07-21:05:48,68884,6995,701
2022-02-10-08:51:05,61987,6597,614
2022-02-10-20:18:34,61983,6492,587
2022-02-10-20:32:02,61983,6491,587
2022-02-10-20:45:32,61983,6492,587
2022-02-11-20:36:29,61900,6496,638
2022-02-12-12:37:24,61970,6000,650
