date,prix100,prix10,prix1
2022-01-06-10:52:07,7950,966,8
2022-01-06-13:31:12,8000,965,8
2022-01-06-14:10:53,8000,966,69
2022-01-06-14:14:58,8000,96,68
2022-01-07-19:52:19,7996,939,9
2022-01-07-20:00:35,7996,960,9
2022-01-07-20:08:49,7996,959,9
2022-01-07-20:16:58,799,900,8
2022-01-07-20:25:06,799,900,0
2022-01-07-20:33:20,799,900,6
2022-01-12-09:44:59,28900,149,86
2022-01-12-10:10:49,28900,1496,84
2022-01-12-10:44:04,28900,1495,80
2022-01-12-11:17:18,28900,190,82
2022-01-12-11:50:41,28900,1909,80
2022-01-21-23:39:16,2999,40,9
2022-01-22-01:01:51,2999,400,27
2022-01-22-14:00:54,5799,407,24
2022-01-22-14:14:00,5799,406,24
2022-01-22-14:27:05,5799,406,24
2022-01-22-14:40:10,5799,406,24
2022-01-22-14:53:14,5799,406,24
2022-01-22-15:06:23,5799,406,24
2022-01-22-15:19:35,5799,406,50
2022-01-22-15:32:42,5799,406,50
2022-01-22-15:47:34,5799,406,48
2022-01-22-16:00:40,5799,406,48
2022-01-22-16:13:48,5799,406,47
2022-01-22-16:26:55,5799,407,47
2022-01-22-16:40:04,5799,407,47
2022-01-22-16:53:12,5799,407,46
2022-01-22-17:06:19,5799,407,46
2022-01-22-17:19:26,5799,406,46
2022-01-22-17:32:32,5799,400,47
2022-01-22-17:45:40,5799,410,46
2022-01-22-17:58:49,8999,410,46
2022-01-22-18:12:01,8999,410,48
2022-01-22-18:25:11,8999,410,48
2022-01-22-18:38:26,8998,409,48
2022-01-22-18:51:33,8998,409,47
2022-01-22-19:04:44,8998,409,46
2022-01-22-19:17:57,8998,409,45
2022-01-22-19:32:05,8898,409,40
2022-01-22-19:45:17,8898,410,40
2022-01-22-19:58:27,8898,410,40
2022-01-22-23:50:56,5799,719,55
2022-01-23-22:48:21,5799,697,60
2022-01-24-19:35:42,8989,999,88
2022-01-24-21:37:30,8988,979,86
2022-01-25-18:24:20,8988,900,45
2022-01-26-15:21:13,12985,799,77
2022-01-26-15:40:21,12985,799,76
2022-01-28-09:03:25,0,26793,218
2022-01-28-10:02:49,28783,2973,216
2022-01-28-11:02:17,0,26793,217
2022-01-28-12:01:19,28784,2490,249
2022-01-28-13:00:24,28784,2496,249
2022-01-28-13:59:30,24500,2497,245
2022-01-28-14:58:40,24469,2495,242
2022-01-28-15:57:50,24457,2496,242
2022-01-28-16:57:20,24457,2490,198
2022-01-28-17:56:50,24449,2449,220
2022-01-29-10:40:13,24444,2491,183
2022-01-29-11:38:56,24443,2491,159
2022-01-29-12:37:47,24443,2494,157
2022-01-29-13:36:41,24443,2199,152
2022-01-29-21:50:44,8488,967,192
2022-01-29-22:49:48,21999,1700,150
2022-02-02-20:21:30,9000,1097,92
2022-02-06-14:57:40,12800,1171,89
2022-02-06-22:35:53,12799,1171,88
2022-02-07-20:17:22,12797,1099,99
2022-02-07-20:29:41,12797,1099,98
2022-02-07-20:41:58,12796,1099,100
2022-02-07-20:54:17,12796,1161,99
2022-02-07-21:06:35,12796,1161,100
2022-02-10-08:51:54,12795,799,100
2022-02-10-20:19:30,10996,1200,96
2022-02-10-20:32:55,10996,1199,95
2022-02-11-20:37:18,14950,1391,125
2022-02-12-12:38:14,12998,1379,127
