date,prix100,prix10,prix1
2022-01-06-10:54:36,49998,46999,4958
2022-01-06-13:32:56,49998,49046,4990
2022-01-06-14:12:17,49998,49072,4985
2022-01-06-14:16:12,49998,49072,4985
2022-01-07-19:53:35,9099,66900,649
2022-01-07-20:01:51,9099,66796,649
2022-01-07-20:09:59,9099,66795,649
2022-01-07-20:18:07,9099,66795,649
2022-01-07-20:26:17,9099,66794,649
2022-01-07-20:34:34,9099,66790,649
2022-01-12-09:46:08,98798,66993,794
2022-01-12-10:12:00,98798,996,794
2022-01-12-10:45:18,98798,996,793
2022-01-12-11:18:31,98798,900,789
2022-01-12-11:51:53,98798,900,7000
2022-01-21-23:40:33,558798,53000,585
2022-01-22-01:03:02,558797,53296,5850
2022-01-22-14:02:04,555797,53349,5484
2022-01-22-14:15:09,555797,53349,5478
2022-01-22-14:28:14,555797,53346,5476
2022-01-22-14:41:18,555797,53345,5474
2022-01-22-14:54:22,555797,53345,5473
2022-01-22-15:07:38,555797,53345,5471
2022-01-22-15:20:45,555797,53345,5470
2022-01-22-15:33:52,555797,53249,5400
2022-01-22-15:48:43,555797,53249,5400
2022-01-22-16:01:51,555797,53246,5199
2022-01-22-16:14:59,555797,53247,5400
2022-01-22-16:28:06,555797,53246,5198
2022-01-22-16:41:14,555796,53250,5198
2022-01-22-16:54:21,555796,53345,5198
2022-01-22-17:07:30,555796,5334,5196
2022-01-22-17:20:36,555796,5334,5196
2022-01-22-17:33:42,555796,53342,5195
2022-01-22-17:46:51,555796,53342,5195
2022-01-22-18:00:00,555796,53343,5195
2022-01-22-18:13:13,555796,53343,5196
2022-01-22-18:26:25,555796,53345,5195
2022-01-22-18:39:36,555796,5334,5191
2022-01-22-18:52:43,555795,53345,5191
2022-01-22-19:05:58,555000,53345,5192
2022-01-22-19:19:11,555000,5334,5194
2022-01-22-19:33:17,555000,5334,5195
2022-01-22-19:46:28,555000,5334,5196
2022-01-22-19:59:39,555000,53339,5198
2022-01-22-23:52:05,0,0,0
2022-01-23-22:49:22,550000,49995,5190
2022-01-24-19:36:43,549000,49955,5149
2022-01-24-21:38:33,547999,49947,5147
2022-01-25-18:25:20,547995,49995,5188
2022-01-26-15:22:28,499995,46997,5000
2022-01-26-15:41:38,499995,46996,5175
2022-01-28-09:04:45,499998,52693,5197
2022-01-28-10:04:11,499998,52692,5200
2022-01-28-11:03:35,499998,52650,5100
2022-01-28-12:02:37,499998,52650,5173
2022-01-28-13:01:42,499989,52639,5173
2022-01-28-14:00:50,499989,52636,5172
2022-01-28-14:59:58,499999,52597,5171
2022-01-28-15:59:10,499999,52595,5268
2022-01-28-16:58:44,499999,51990,5255
2022-01-28-17:58:12,499999,51996,5258
2022-01-29-10:41:27,547980,49997,5292
2022-01-29-11:40:12,547980,49996,5290
2022-01-29-12:39:06,547900,49996,5292
2022-01-29-13:37:58,547900,49996,5294
2022-01-29-21:51:59,547889,49996,5274
2022-01-29-22:51:04,547889,49996,5273
2022-02-02-20:24:59,545993,52613,5268
2022-02-06-15:01:10,536959,51979,5269
2022-02-06-22:39:47,535999,51995,5285
2022-02-07-20:20:49,533998,49995,5099
2022-02-07-20:33:08,533999,49995,5099
2022-02-07-20:45:26,533999,49994,5099
2022-02-07-20:57:46,525000,49994,5099
2022-02-07-21:10:03,525000,49992,5099
2022-02-10-08:55:32,499975,49995,5453
2022-02-10-20:23:19,499973,49499,5447
2022-02-10-20:36:44,499973,49499,5447
2022-02-11-20:40:52,499970,49399,5092
2022-02-12-12:41:46,499977,49376,5082
