date,prix100,prix10,prix1
2022-01-06-10:49:55,1098,20,52
2022-01-06-13:28:51,116,6,2
2022-01-06-13:39:41,115,20,20
2022-01-06-14:03:17,100,20,52
2022-01-06-14:05:38,118,20,52
2022-01-06-14:13:15,4998,635,95
2022-01-07-19:50:22,1090,206,164
2022-01-07-19:58:57,108,206,164
2022-01-07-20:07:14,1000,206,164
2022-01-07-20:15:20,99,205,164
2022-01-07-20:23:29,993,205,164
2022-01-07-20:31:39,108,205,164
2022-01-12-09:43:22,8092,426,0
2022-01-12-10:09:06,8089,430,0
2022-01-12-10:42:23,8079,434,0
2022-01-12-11:15:41,2998,433,80
2022-01-12-11:48:56,2990,433,80
2022-01-21-23:37:29,1278,222,20
2022-01-22-01:00:12,1267,226,174
2022-01-22-13:33:09,1050,226,798
2022-01-22-13:59:20,1625,229,99
2022-01-22-14:12:25,1048,226,50
2022-01-22-14:25:30,1047,227,50
2022-01-22-14:38:35,1046,227,50
2022-01-22-14:51:40,1046,226,50
2022-01-22-15:04:43,1000,222,234
2022-01-22-15:18:01,1043,221,799
2022-01-22-15:31:06,1044,221,799
2022-01-22-15:45:59,1042,220,25
2022-01-22-15:59:04,1019,219,799
2022-01-22-16:12:12,1049,219,799
2022-01-22-16:25:20,1019,220,199
2022-01-22-16:38:27,1018,220,199
2022-01-22-16:51:36,1016,220,799
2022-01-22-17:04:42,1013,149,29
2022-01-22-17:17:51,1010,220,28
2022-01-22-17:30:57,1026,219,28
2022-01-22-17:44:03,1024,216,88
2022-01-22-17:57:13,1024,215,26
2022-01-22-18:10:23,1625,213,89
2022-01-22-18:23:34,1623,213,80
2022-01-22-18:36:47,1662,212,80
2022-01-22-18:49:57,1661,214,80
2022-01-22-19:03:05,1670,214,80
2022-01-22-19:16:19,1653,215,79
2022-01-22-19:29:32,2999,572,99
2022-01-22-19:43:38,1646,209,78
2022-01-22-19:56:49,1641,209,78
2022-01-22-23:40:54,5796,509,47
2022-01-22-23:43:00,1266,296,79
2022-01-22-23:45:08,1267,296,79
2022-01-22-23:49:18,1267,297,79
2022-01-23-18:49:35,1898,195,97
2022-01-23-21:12:22,1890,199,99
2022-01-23-21:15:57,1890,199,98
2022-01-23-21:18:30,1890,200,98
2022-01-23-21:20:36,1890,200,98
2022-01-23-21:22:49,1890,200,98
2022-01-23-22:30:20,1768,264,60
2022-01-23-22:42:59,1766,264,1166
2022-01-23-22:45:31,1759,264,1166
2022-01-23-22:46:49,1759,264,1166
2022-01-24-19:34:10,899,194,72
2022-01-24-21:35:57,899,200,48
2022-01-25-18:22:53,1850,252,1164
2022-01-26-15:19:28,1047,177,1163
2022-01-26-15:38:25,895,175,79
2022-01-28-09:01:35,1184,245,1162
2022-01-28-10:00:54,1181,245,1162
2022-01-28-11:00:23,1299,244,1160
2022-01-28-11:59:30,1410,242,99
2022-01-28-12:58:34,1293,245,99
2022-01-28-13:57:39,1293,240,97
2022-01-28-14:56:51,1498,143,10
2022-01-28-15:56:00,1265,140,12
2022-01-28-16:55:24,1254,139,9
2022-01-28-17:54:53,1198,139,13
2022-01-29-10:38:29,840,254,55
2022-01-29-11:37:08,837,251,54
2022-01-29-12:36:00,821,90,48
2022-01-29-13:34:56,813,239,48
2022-01-29-21:48:47,2490,244,97
2022-01-29-22:48:03,2466,244,99
