date,prix100,prix10,prix1
2022-01-06-10:50:23,9894,2790,1299
2022-01-06-13:29:23,9895,2793,1100
2022-01-06-14:03:38,99999,0,1100
2022-01-06-14:06:01,99999,0,1100
2022-01-06-14:13:38,99998,9999,1299
2022-01-07-19:50:49,25999,369,1299
2022-01-07-19:59:18,25999,369,1299
2022-01-07-20:07:35,25999,369,1299
2022-01-07-20:15:42,25998,3696,1299
2022-01-07-20:23:50,25998,3696,1299
2022-01-07-20:32:00,25998,3696,1299
2022-01-12-09:43:43,66996,6666,1499
2022-01-12-10:09:30,66600,6665,1800
2022-01-12-10:42:46,65000,6665,1800
2022-01-12-11:16:03,66900,900,1790
2022-01-12-11:49:20,65999,6663,1789
2022-01-21-23:37:50,244989,24996,2588
2022-01-22-01:00:33,244990,24999,2589
2022-01-22-13:33:31,188999,22957,2295
2022-01-22-13:59:41,188998,22956,2295
2022-01-22-14:12:46,189000,22956,2295
2022-01-22-14:25:52,188999,22955,2294
2022-01-22-14:38:56,189000,22954,2291
2022-01-22-14:52:01,189000,22952,2290
2022-01-22-15:05:05,189000,22950,2290
2022-01-22-15:18:22,188999,22950,2290
2022-01-22-15:31:27,188999,22953,2293
2022-01-22-15:46:20,188999,22952,2293
2022-01-22-15:59:25,188999,22952,2293
2022-01-22-16:12:34,180000,22952,2293
2022-01-22-16:25:41,180000,22952,2199
2022-01-22-16:38:48,180000,22952,2199
2022-01-22-16:51:57,188999,22952,2199
2022-01-22-17:05:03,189990,22952,2294
2022-01-22-17:18:12,189990,22952,2295
2022-01-22-17:31:18,189990,22954,2297
2022-01-22-17:44:25,189994,22955,2297
2022-01-22-17:57:34,189993,22957,2297
2022-01-22-18:10:44,189992,22956,2297
2022-01-22-18:23:55,189989,22954,2297
2022-01-22-18:37:09,189994,22952,2295
2022-01-22-18:50:18,189993,22950,2295
2022-01-22-19:03:27,189993,22950,2294
2022-01-22-19:16:40,189994,19999,2294
2022-01-22-19:30:47,189994,19996,2294
2022-01-22-19:43:59,189993,19996,2294
2022-01-22-19:57:11,189994,19997,2293
2022-01-22-23:41:11,0,772116,5690
2022-01-22-23:45:28,169990,22936,2290
2022-01-22-23:49:41,169990,22936,2290
2022-01-23-18:49:57,189984,19902,2262
2022-02-02-20:19:58,247500,25792,2699
2022-02-06-14:56:08,259900,27595,2740
2022-02-06-22:34:19,269998,26439,2649
2022-02-07-20:15:51,237897,23900,2297
2022-02-07-20:28:10,237897,23999,2196
2022-02-07-20:40:27,237897,23799,2196
2022-02-07-20:52:46,237890,23900,2196
2022-02-07-21:05:04,237889,23956,2196
2022-02-10-08:50:19,229800,22993,2178
2022-02-10-20:17:46,218000,22700,2180
2022-02-10-20:31:14,218000,22700,2180
2022-02-10-20:44:44,217998,22700,2180
2022-02-11-20:35:43,213999,22667,2151
2022-02-12-12:36:39,209799,21900,2141
